Speed,CellID,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,NRxRSRP,NRxRSRQ,date
0,2,-95,-13,4.0,10.0,-80.0,0,0,0.0,0.0,2017-11-21 15:03:50
0,2,-95,-13,2.0,8.0,-78.0,0,0,0.0,0.0,2017-11-21 15:03:51
0,2,-95,-13,13.0,9.0,-80.0,0,0,0.0,0.0,2017-11-21 15:03:52
1,2,-95,-13,13.0,9.0,-80.0,0,0,0.0,0.0,2017-11-21 15:03:53
1,2,-97,-13,-2.0,9.0,-80.0,0,0,0.0,0.0,2017-11-21 15:03:54
1,2,-97,-13,-2.0,9.0,-80.0,2149,83,0.0,0.0,2017-11-21 15:03:55
0,2,-96,-12,5.0,9.0,-80.0,1431,53,0.0,0.0,2017-11-21 15:03:56
0,2,-96,-12,5.0,9.0,-82.0,402,14,0.0,0.0,2017-11-21 15:03:57
0,2,-102,-14,1.0,7.0,-85.0,11,0,-106.0,-19.0,2017-11-21 15:03:58
0,2,-102,-14,1.0,6.0,-83.0,1722,73,-106.0,-19.0,2017-11-21 15:03:59
0,2,-100,-14,0.0,10.0,-81.0,1398,44,-106.0,-19.0,2017-11-21 15:04:00
0,2,-100,-14,0.0,5.0,-83.0,559,10,-106.0,-19.0,2017-11-21 15:04:01
0,2,-100,-14,1.0,5.0,-83.0,671,25,-106.0,-19.0,2017-11-21 15:04:03
0,2,-100,-14,1.0,7.0,-86.0,1017,19,-106.0,-19.0,2017-11-21 15:04:04
0,2,-103,-14,2.0,7.0,-86.0,89,3,-106.0,-19.0,2017-11-21 15:04:05
0,2,-103,-14,2.0,7.0,-84.0,570,26,0.0,0.0,2017-11-21 15:04:06
0,2,-103,-15,0.0,7.0,-86.0,771,16,-108.0,-19.0,2017-11-21 15:04:07
0,2,-103,-15,0.0,7.0,-86.0,22,0,-108.0,-19.0,2017-11-21 15:04:08
0,2,-105,-17,-4.0,6.0,-88.0,301,13,-105.0,-15.0,2017-11-21 15:04:09
0,2,-105,-17,-4.0,7.0,-85.0,626,14,-105.0,-15.0,2017-11-21 15:04:10
0,2,-103,-16,-5.0,9.0,-83.0,693,13,-104.0,-18.0,2017-11-21 15:04:11
0,2,-103,-16,-5.0,9.0,-83.0,973,27,-104.0,-18.0,2017-11-21 15:04:12
0,2,-101,-15,1.0,6.0,-80.0,424,14,-104.0,-18.0,2017-11-21 15:04:14
0,2,-101,-15,1.0,7.0,-85.0,679,36,-104.0,-18.0,2017-11-21 15:04:15
0,2,-102,-15,2.0,7.0,-85.0,0,0,-104.0,-17.0,2017-11-21 15:04:16
0,2,-102,-15,2.0,7.0,-85.0,480,16,-104.0,-17.0,2017-11-21 15:04:17
0,2,-104,-16,-3.0,8.0,-82.0,849,16,-103.0,-17.0,2017-11-21 15:04:18
0,2,-104,-16,-3.0,6.0,-84.0,402,11,-103.0,-17.0,2017-11-21 15:04:19
0,2,-100,-14,1.0,6.0,-84.0,816,18,-103.0,-17.0,2017-11-21 15:04:20
0,2,-100,-14,1.0,6.0,-87.0,816,19,-103.0,-17.0,2017-11-21 15:04:21
3,2,-100,-14,1.0,6.0,-87.0,816,19,-103.0,-17.0,2017-11-21 15:04:22
3,2,-103,-13,1.0,6.0,-87.0,424,17,-103.0,-17.0,2017-11-21 15:04:23
3,2,-104,-14,1.0,6.0,-87.0,581,27,0.0,0.0,2017-11-21 15:04:25
3,2,-104,-14,1.0,6.0,-87.0,615,29,0.0,0.0,2017-11-21 15:04:26
3,2,-104,-14,0.0,6.0,-87.0,335,7,0.0,0.0,2017-11-21 15:04:27
3,2,-104,-14,0.0,6.0,-87.0,100,4,0.0,0.0,2017-11-21 15:04:28
3,2,-106,-14,0.0,7.0,-89.0,961,33,0.0,0.0,2017-11-21 15:04:29
3,2,-106,-14,0.0,6.0,-87.0,1252,24,0.0,0.0,2017-11-21 15:04:30
3,2,-106,-14,2.0,7.0,-84.0,1252,24,0.0,0.0,2017-11-21 15:04:31
3,2,-101,-14,2.0,7.0,-84.0,335,15,0.0,0.0,2017-11-21 15:04:32
3,2,-104,-14,3.0,6.0,-87.0,548,14,0.0,0.0,2017-11-21 15:04:33
3,2,-104,-14,3.0,6.0,-85.0,1008,27,0.0,0.0,2017-11-21 15:04:34
3,2,-102,-14,2.0,6.0,-88.0,577,42,0.0,0.0,2017-11-21 15:04:35
3,2,-102,-14,2.0,6.0,-88.0,760,15,0.0,0.0,2017-11-21 15:04:36
3,2,-105,-15,0.0,6.0,-88.0,1286,24,0.0,0.0,2017-11-21 15:04:38
3,2,-105,-15,0.0,6.0,-88.0,480,10,0.0,0.0,2017-11-21 15:04:39
3,2,-105,-13,4.0,6.0,-88.0,1051,34,0.0,0.0,2017-11-21 15:04:40
3,2,-105,-13,4.0,6.0,-86.0,626,13,0.0,0.0,2017-11-21 15:04:41
4,2,-105,-13,3.0,6.0,-88.0,883,17,0.0,0.0,2017-11-21 15:04:42
4,2,-100,-13,4.0,8.0,-84.0,2035,52,0.0,0.0,2017-11-21 15:04:43
4,2,-107,-15,5.0,8.0,-90.0,1196,23,0.0,0.0,2017-11-21 15:04:44
4,2,-107,-15,5.0,8.0,-90.0,324,14,0.0,0.0,2017-11-21 15:04:45
4,2,-108,-14,1.0,8.0,-90.0,167,8,0.0,0.0,2017-11-21 15:04:46
4,2,-108,-14,1.0,8.0,-90.0,984,24,0.0,0.0,2017-11-21 15:04:47
4,2,-108,-13,3.0,8.0,-90.0,782,18,0.0,0.0,2017-11-21 15:04:49
4,2,-108,-13,3.0,6.0,-92.0,469,13,0.0,0.0,2017-11-21 15:04:50
4,2,-109,-13,3.0,5.0,-92.0,447,9,0.0,0.0,2017-11-21 15:04:51
4,2,-109,-13,3.0,6.0,-94.0,704,16,0.0,0.0,2017-11-21 15:04:52
4,2,-112,-14,2.0,6.0,-94.0,872,20,-117.0,-20.0,2017-11-21 15:04:53
4,2,-112,-14,2.0,6.0,-94.0,22,0,-117.0,-20.0,2017-11-21 15:04:54
4,8,-109,-16,-2.0,6.0,-92.0,2461,67,-117.0,-20.0,2017-11-21 15:04:55
4,8,-109,-16,-2.0,7.0,-89.0,3836,71,-117.0,-16.0,2017-11-21 15:04:56
4,8,-106,-15,2.0,9.0,-93.0,648,15,-117.0,-16.0,2017-11-21 15:04:57
4,8,-106,-15,2.0,9.0,-93.0,2180,48,-117.0,-16.0,2017-11-21 15:04:58
4,8,-106,-15,2.0,9.0,-93.0,2180,48,-117.0,-16.0,2017-11-21 15:04:59
4,8,-109,-16,1.0,7.0,-90.0,1699,35,-91.0,-13.0,2017-11-21 15:05:00
4,8,-109,-16,1.0,9.0,-92.0,257,5,-91.0,-13.0,2017-11-21 15:05:01
4,8,-109,-17,1.0,7.0,-94.0,1002,32,-88.0,-12.0,2017-11-21 15:05:02
4,8,-109,-17,1.0,7.0,-94.0,771,17,-88.0,-12.0,2017-11-21 15:05:03
4,8,-112,-17,-1.0,7.0,-94.0,1308,29,-92.0,-10.0,2017-11-21 15:05:04
4,8,-112,-17,-1.0,7.0,-94.0,2147,64,-92.0,-10.0,2017-11-21 15:05:05
4,8,-109,-16,-3.0,8.0,-92.0,1923,36,-79.0,-11.0,2017-11-21 15:05:06
4,8,-109,-16,-3.0,8.0,-92.0,1822,37,-79.0,-11.0,2017-11-21 15:05:07
