Speed,CellID,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,NRxRSRP,NRxRSRQ,date
0,1,-88,-12.0,17.0,10.0,-71.0,49,36,,,2017-11-24 14:34:43
2,1,-88,-12.0,8.0,9.0,-73.0,49,36,,,2017-11-24 14:34:44
2,1,-88,-12.0,17.0,10.0,-71.0,173,6,,,2017-11-24 14:34:45
2,1,-85,-12.0,16.0,10.0,-69.0,0,0,,,2017-11-24 14:34:46
2,1,-85,-12.0,16.0,10.0,-75.0,0,0,,,2017-11-24 14:34:47
2,1,-84,-12.0,19.0,11.0,-74.0,0,0,,,2017-11-24 14:34:48
2,1,-84,-12.0,19.0,12.0,-68.0,0,0,,,2017-11-24 14:34:49
2,1,-85,-12.0,16.0,12.0,-72.0,39,25,,,2017-11-24 14:34:50
2,1,-85,-12.0,16.0,11.0,-72.0,0,0,,,2017-11-24 14:34:51
2,1,-89,-11.0,14.0,12.0,-69.0,0,0,,,2017-11-24 14:34:52
2,1,-89,-11.0,14.0,13.0,-66.0,2484,95,,,2017-11-24 14:34:53
2,1,-84,-12.0,7.0,11.0,-70.0,14449,340,,,2017-11-24 14:34:54
2,1,-84,-12.0,7.0,11.0,-70.0,12045,221,,,2017-11-24 14:34:55
2,1,-88,-11.0,16.0,11.0,-70.0,16843,303,,,2017-11-24 14:34:56
2,1,-88,-11.0,16.0,11.0,-70.0,11497,206,,,2017-11-24 14:34:58
2,1,-87,-13.0,16.0,10.0,-76.0,8991,166,,,2017-11-24 14:34:59
2,1,-87,-13.0,16.0,11.0,-73.0,12089,220,,,2017-11-24 14:35:00
2,1,-90,-12.0,15.0,12.0,-69.0,10222,226,,,2017-11-24 14:35:01
2,1,-90,-12.0,15.0,9.0,-73.0,14371,257,,,2017-11-24 14:35:02
2,1,-90,-12.0,14.0,9.0,-73.0,12335,229,,,2017-11-24 14:35:03
2,1,-90,-12.0,14.0,9.0,-73.0,5468,97,,,2017-11-24 14:35:04
2,1,-90,-12.0,12.0,9.0,-73.0,7571,132,,,2017-11-24 14:35:05
2,1,-90,-12.0,12.0,9.0,-73.0,9607,166,,,2017-11-24 14:35:06
2,1,-86,-13.0,12.0,9.0,-69.0,15411,283,-97.0,-19.0,2017-11-24 14:35:08
2,1,-86,-13.0,12.0,12.0,-67.0,13051,269,-97.0,-19.0,2017-11-24 14:35:09
2,1,-84,-12.0,15.0,12.0,-67.0,18196,311,,,2017-11-24 14:35:10
2,1,-84,-12.0,15.0,12.0,-70.0,14103,277,,,2017-11-24 14:35:11
2,1,-87,-13.0,15.0,12.0,-68.0,11340,201,,,2017-11-24 14:35:12
2,1,-87,-13.0,15.0,12.0,-68.0,9114,164,,,2017-11-24 14:35:13
2,1,-84,-12.0,13.0,11.0,-70.0,5480,101,,,2017-11-24 14:35:14
2,1,-84,-12.0,13.0,12.0,-67.0,8566,132,,,2017-11-24 14:35:15
2,1,-84,-12.0,13.0,12.0,-67.0,6464,120,-88.0,-19.0,2017-11-24 14:35:16
2,1,-84,-12.0,13.0,11.0,-69.0,7168,120,-88.0,-19.0,2017-11-24 14:35:18
2,1,-87,-12.0,14.0,10.0,-62.0,10345,183,-81.0,-18.0,2017-11-24 14:35:19
2,1,-87,-12.0,14.0,8.0,-65.0,2650,54,-81.0,-18.0,2017-11-24 14:35:20
2,1,-82,-12.0,11.0,5.0,-69.0,1342,62,-75.0,-17.0,2017-11-24 14:35:21
2,1,-82,-12.0,11.0,5.0,-69.0,1677,76,-75.0,-17.0,2017-11-24 14:35:22
19,1,-82,-12.0,3.0,7.0,-74.0,1677,76,-75.0,-17.0,2017-11-24 14:35:23
19,1,-87,-13.0,5.0,7.0,-78.0,1375,51,-83.0,-16.0,2017-11-24 14:35:24
19,1,-95,-15.0,1.0,7.0,-78.0,2270,103,-89.0,-16.0,2017-11-24 14:35:25
19,1,-95,-15.0,1.0,7.0,-78.0,704,30,-89.0,-16.0,2017-11-24 14:35:27
19,1,-105,-13.0,5.0,7.0,,2572,57,-99.0,-18.0,2017-11-24 14:35:28
19,1,-105,-13.0,5.0,7.0,,1040,40,-99.0,-18.0,2017-11-24 14:35:29
19,1,-110,-15.0,2.0,7.0,-93.0,402,18,-102.0,-19.0,2017-11-24 14:35:30
19,1,-110,-15.0,2.0,5.0,,1263,63,-102.0,-19.0,2017-11-24 14:35:31
19,1,-113,-15.0,3.0,5.0,,1017,48,-109.0,-20.0,2017-11-24 14:35:33
19,1,-113,-15.0,3.0,5.0,,1912,89,-109.0,-20.0,2017-11-24 14:35:34
19,1,-115,-14.0,5.0,6.0,-94.0,2449,57,-111.0,-19.0,2017-11-24 14:35:35
19,1,-115,-14.0,5.0,6.0,-94.0,1946,37,-111.0,-19.0,2017-11-24 14:35:36
19,7,-115,-17.0,3.0,5.0,,1711,35,-111.0,-19.0,2017-11-24 14:35:37
19,7,-115,-17.0,3.0,5.0,,2863,53,,,2017-11-24 14:35:38
19,7,-115,-18.0,-3.0,5.0,,973,23,-103.0,-15.0,2017-11-24 14:35:39
19,40967,-200,,,,,0,0,-103.0,-15.0,2017-11-24 14:35:40
19,40967,-91,-2.0,,,,525,27,-103.0,-15.0,2017-11-24 14:35:41
19,40967,-91,-2.0,,,,905,26,-51.0,-24.0,2017-11-24 14:35:43
19,40967,-91,-2.0,,,,693,13,-51.0,-24.0,2017-11-24 14:35:44
19,40967,-91,-2.0,,,,693,13,-51.0,-24.0,2017-11-24 14:35:45
19,40967,-87,-2.0,,,,995,18,-51.0,-24.0,2017-11-24 14:35:46
19,40967,-87,-2.0,,,,1051,29,-51.0,-24.0,2017-11-24 14:35:47
19,40967,-85,-2.0,,,,581,16,-51.0,-24.0,2017-11-24 14:35:48
19,40967,-85,-2.0,,,,590,13,-51.0,-24.0,2017-11-24 14:35:49
19,40967,-85,-2.0,,,,575,11,-51.0,-24.0,2017-11-24 14:35:50
19,40967,-85,-2.0,,,,536,10,-51.0,-24.0,2017-11-24 14:35:51
19,40967,-87,-2.0,,,,436,9,-51.0,-24.0,2017-11-24 14:35:52
19,40967,-87,-2.0,,,,335,6,-51.0,-24.0,2017-11-24 14:35:53
19,40967,-91,-2.0,,,,391,8,-51.0,-24.0,2017-11-24 14:35:55
19,40967,-91,-2.0,,,,279,14,-51.0,-24.0,2017-11-24 14:35:56
19,40967,-95,-2.0,,,,324,7,-51.0,-24.0,2017-11-24 14:35:57
19,40967,-95,-2.0,,,,268,14,-51.0,-24.0,2017-11-24 14:35:58
19,40967,-97,-2.0,,,,33,1,-51.0,-24.0,2017-11-24 14:35:59
19,40967,-97,-2.0,,,,33,1,-51.0,-24.0,2017-11-24 14:36:00
19,40967,-99,-2.0,,,,44,1,-51.0,-24.0,2017-11-24 14:36:01
19,40967,-99,-2.0,,,,0,8,-51.0,-24.0,2017-11-24 14:36:02
19,40967,-101,-2.0,,,,0,0,-51.0,-24.0,2017-11-24 14:36:03
19,40967,-101,-2.0,,,,0,0,-51.0,-24.0,2017-11-24 14:36:04
19,40967,-99,-2.0,,,,0,0,-51.0,-24.0,2017-11-24 14:36:06
19,40967,-99,-2.0,,,,0,0,-51.0,-24.0,2017-11-24 14:36:07
19,40967,-101,-2.0,,,,0,0,-51.0,-24.0,2017-11-24 14:36:08
19,40967,-101,-2.0,,,,0,0,-51.0,-24.0,2017-11-24 14:36:09
19,40967,-101,-2.0,,,,0,0,-51.0,-24.0,2017-11-24 14:36:10
19,40967,-101,-2.0,,,,0,8,-51.0,-24.0,2017-11-24 14:36:11
19,6155,-101,-2.0,,,,0,0,-51.0,-24.0,2017-11-24 14:36:12
19,6155,-101,-2.0,,,,0,0,-51.0,-24.0,2017-11-24 14:36:13
