Speed,CellID,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,NRxRSRP,NRxRSRQ,date
1,13,-85,-10.0,7.0,13.0,-71.0,1,2,-90.0,-204.0,2019-11-23 12:27:34
1,13,-87,-12.0,4.0,13.0,-71.0,0,0,-89.0,-4.0,2019-11-23 12:27:35
0,13,-87,-12.0,4.0,10.0,-71.0,9,12,-89.0,-4.0,2019-11-23 12:27:36
0,13,-88,-8.0,8.0,10.0,-77.0,0,0,-93.0,-6.0,2019-11-23 12:27:37
0,13,-88,-8.0,8.0,13.0,-73.0,49,14,-93.0,-6.0,2019-11-23 12:27:38
0,13,-84,-8.0,13.0,13.0,-73.0,5721,453,-90.0,-9.0,2019-11-23 12:27:39
0,13,-84,-8.0,13.0,15.0,-73.0,41296,1009,-90.0,-9.0,2019-11-23 12:27:40
0,13,-80,-7.0,21.0,15.0,-77.0,36804,990,-94.0,-9.0,2019-11-23 12:27:41
0,13,-80,-7.0,21.0,13.0,-71.0,10729,354,-94.0,-9.0,2019-11-23 12:27:42
0,13,-80,-8.0,18.0,12.0,-74.0,37457,370,-91.0,-6.0,2019-11-23 12:27:43
0,13,-80,-8.0,18.0,12.0,-74.0,34951,281,-91.0,-6.0,2019-11-23 12:27:44
0,13,-81,-10.0,18.0,12.0,-74.0,28028,235,-92.0,-5.0,2019-11-23 12:27:45
0,13,-81,-10.0,18.0,12.0,-74.0,42319,331,-92.0,-5.0,2019-11-23 12:27:47
0,13,-80,-8.0,13.0,11.0,-76.0,52522,529,-92.0,-7.0,2019-11-23 12:27:48
0,13,-80,-8.0,13.0,11.0,-76.0,145,9,-92.0,-7.0,2019-11-23 12:27:49
0,13,-83,-9.0,15.0,10.0,-76.0,30,4,-93.0,-8.0,2019-11-23 12:27:50
0,13,-83,-9.0,15.0,10.0,-76.0,0,0,-93.0,-8.0,2019-11-23 12:27:51
0,13,-81,-10.0,13.0,10.0,-76.0,0,0,-92.0,-7.0,2019-11-23 12:27:52
0,13,-81,-10.0,13.0,12.0,-73.0,0,0,-92.0,-7.0,2019-11-23 12:27:53
0,13,-80,-8.0,13.0,11.0,-71.0,1,1,-88.0,-6.0,2019-11-23 12:27:54
0,13,-80,-8.0,13.0,11.0,-71.0,3,6,-88.0,-6.0,2019-11-23 12:27:55
0,13,-81,-9.0,9.0,11.0,-74.0,1,4,-94.0,-2.0,2019-11-23 12:27:56
0,13,-81,-9.0,9.0,14.0,-77.0,1,2,-94.0,-2.0,2019-11-23 12:27:57
0,13,-83,-9.0,6.0,10.0,-77.0,0,1,-92.0,-1.0,2019-11-23 12:27:58
0,13,-83,-9.0,6.0,13.0,-67.0,3,5,-92.0,-1.0,2019-11-23 12:27:59
0,13,-84,-8.0,3.0,9.0,-69.0,0,0,-85.0,-4.0,2019-11-23 12:28:01
0,13,-84,-8.0,3.0,9.0,-69.0,2,6,-85.0,-4.0,2019-11-23 12:28:02
0,13,-82,-8.0,7.0,10.0,-72.0,1,3,-91.0,-4.0,2019-11-23 12:28:03
0,13,-82,-8.0,7.0,10.0,-72.0,2,4,-91.0,-4.0,2019-11-23 12:28:04
0,13,-85,-9.0,13.0,12.0,-74.0,1,1,-90.0,-5.0,2019-11-23 12:28:05
0,13,-85,-9.0,13.0,12.0,-74.0,0,0,-90.0,-5.0,2019-11-23 12:28:06
0,13,-83,-9.0,14.0,12.0,-71.0,0,0,-89.0,-7.0,2019-11-23 12:28:07
0,13,-83,-9.0,14.0,12.0,-71.0,0,0,-89.0,-7.0,2019-11-23 12:28:08
0,13,-78,-8.0,14.0,12.0,-71.0,0,10,-92.0,-4.0,2019-11-23 12:28:09
0,13,-78,-8.0,14.0,13.0,-68.0,83,208,-92.0,-4.0,2019-11-23 12:28:10
0,13,-76,-8.0,9.0,11.0,-65.0,1,1,-87.0,-3.0,2019-11-23 12:28:11
0,13,-76,-8.0,9.0,10.0,-72.0,0,0,-87.0,-3.0,2019-11-23 12:28:12
0,13,-81,-8.0,16.0,10.0,-72.0,0,0,-88.0,-2.0,2019-11-23 12:28:13
0,13,-81,-8.0,16.0,8.0,-69.0,0,0,-88.0,-2.0,2019-11-23 12:28:15
0,13,-90,-10.0,6.0,15.0,-73.0,2,3,-92.0,-6.0,2019-11-23 12:28:16
0,13,-90,-10.0,6.0,12.0,-79.0,45,18,-92.0,-6.0,2019-11-23 12:28:17
0,13,-87,-9.0,8.0,11.0,-81.0,34,14,-98.0,-5.0,2019-11-23 12:28:18
0,13,-87,-9.0,8.0,11.0,-81.0,1,3,-98.0,-5.0,2019-11-23 12:28:19
0,13,-93,-13.0,-6.0,9.0,-85.0,0,0,-99.0,-6.0,2019-11-23 12:28:20
0,13,-93,-13.0,-6.0,13.0,-85.0,3,6,-99.0,-6.0,2019-11-23 12:28:21
0,13,-92,-15.0,-8.0,13.0,-85.0,0,0,-105.0,-9.0,2019-11-23 12:28:22
0,13,-92,-15.0,-8.0,13.0,-85.0,0,0,-105.0,-9.0,2019-11-23 12:28:23
0,13,-93,-16.0,-4.0,9.0,-89.0,2,4,-100.0,-19.0,2019-11-23 12:28:24
0,13,-93,-16.0,-4.0,10.0,-92.0,0,0,-100.0,-19.0,2019-11-23 12:28:25
0,13,-94,-20.0,-2.0,10.0,-92.0,0,0,-110.0,-5.0,2019-11-23 12:28:26
0,13,-94,-20.0,-2.0,10.0,-92.0,0,0,-110.0,-5.0,2019-11-23 12:28:28
0,13,-97,-17.0,-7.0,6.0,-92.0,6,3,-109.0,-3.0,2019-11-23 12:28:29
0,13,-97,-17.0,-7.0,6.0,-92.0,0,0,-109.0,-3.0,2019-11-23 12:28:30
0,13,-98,-21.0,-8.0,6.0,-92.0,0,0,-99.0,-18.0,2019-11-23 12:28:31
24,13,-98,-21.0,-8.0,6.0,0.0,0,0,-99.0,-18.0,2019-11-23 12:28:32
24,13,-96,-22.0,-12.0,6.0,0.0,0,0,-110.0,-7.0,2019-11-23 12:28:33
24,13,-96,-22.0,-12.0,8.0,-92.0,0,0,-110.0,-7.0,2019-11-23 12:28:34
24,13,-100,-17.0,-8.0,8.0,-92.0,0,0,-98.0,-17.0,2019-11-23 12:28:35
24,13,-100,-17.0,-8.0,3.0,-94.0,0,0,-98.0,-17.0,2019-11-23 12:28:36
24,13,-100,-15.0,-3.0,3.0,-94.0,0,0,-101.0,-14.0,2019-11-23 12:28:37
24,13,-100,-15.0,-3.0,3.0,-94.0,17,49,-101.0,-14.0,2019-11-23 12:28:38
24,13,-97,-13.0,-3.0,3.0,-94.0,0,0,-104.0,-13.0,2019-11-23 12:28:39
24,13,-97,-13.0,-3.0,3.0,-94.0,0,0,-104.0,-13.0,2019-11-23 12:28:40
24,13,-99,-15.0,-3.0,3.0,-94.0,6,7,-104.0,-17.0,2019-11-23 12:28:42
24,13,-99,-15.0,-3.0,3.0,-94.0,16,28,-104.0,-17.0,2019-11-23 12:28:43
24,13,-98,-16.0,-5.0,11.0,-92.0,2,4,-107.0,-20.0,2019-11-23 12:28:44
24,13,-98,-16.0,-5.0,11.0,-94.0,0,0,-107.0,-20.0,2019-11-23 12:28:45
24,13,-98,-16.0,-5.0,11.0,-93.0,2,4,-106.0,-19.0,2019-11-23 12:28:46
24,13,-98,-16.0,-5.0,11.0,-93.0,0,0,-106.0,-19.0,2019-11-23 12:28:47
24,13,-99,-15.0,1.0,11.0,-93.0,3,2,-110.0,-7.0,2019-11-23 12:28:48
24,13,-99,-15.0,1.0,11.0,-93.0,7,17,-110.0,-7.0,2019-11-23 12:28:49
24,13,-96,-13.0,0.0,10.0,-90.0,0,0,-107.0,-8.0,2019-11-23 12:28:50
24,13,-96,-13.0,0.0,10.0,-90.0,0,0,-107.0,-8.0,2019-11-23 12:28:51
24,13,-97,-13.0,5.0,12.0,-92.0,14,26,-106.0,-20.0,2019-11-23 12:28:52
24,13,-97,-13.0,5.0,12.0,-92.0,0,0,-106.0,-20.0,2019-11-23 12:28:53
24,13,-98,-14.0,0.0,8.0,-89.0,0,0,-102.0,-18.0,2019-11-23 12:28:54
24,13,-98,-14.0,0.0,8.0,-89.0,0,0,-102.0,-18.0,2019-11-23 12:28:56
24,13,-98,-15.0,1.0,8.0,-89.0,0,0,-103.0,-18.0,2019-11-23 12:28:57
24,13,-98,-15.0,1.0,8.0,-89.0,0,0,-103.0,-18.0,2019-11-23 12:28:58
24,13,-95,-13.0,1.0,9.0,-86.0,1,1,-103.0,-18.0,2019-11-23 12:28:59
24,13,-95,-13.0,1.0,8.0,-89.0,0,0,-103.0,-18.0,2019-11-23 12:29:00
24,13,-95,-15.0,6.0,14.0,-74.0,0,0,-91.0,-4.0,2019-11-23 12:29:01
