date,RSRP,RSRQ,SNR,CQI,RSSI,UL_bitrate,DL_bitrate
2019-12-01 12:11:21,-92.0,-11.0,2.0,8.0,-76.0,13.0,29.0
2019-12-01 12:11:22,-93.0,-10.0,2.0,9.0,-78.0,13.0,29.0
2019-12-01 12:11:23,-93.0,-14.0,-1.0,10.0,-75.0,5.0,1.0
2019-12-01 12:11:24,-93.0,-14.0,-1.0,10.0,-75.0,95.0,304.0
2019-12-01 12:11:25,-103.0,-14.0,1.0,10.0,-75.0,157.0,2342.0
2019-12-01 12:11:26,-103.0,-14.0,1.0,13.0,-86.0,0.0,0.0
2019-12-01 12:11:27,-103.0,-16.0,-2.0,8.0,-84.0,124.0,489.0
2019-12-01 12:11:28,-103.0,-16.0,-2.0,8.0,-84.0,16.0,34.0
2019-12-01 12:11:30,-101.0,-14.0,-6.0,8.0,-84.0,191.0,3599.0
2019-12-01 12:11:31,-101.0,-14.0,-6.0,8.0,-84.0,246.0,3424.0
2019-12-01 12:11:32,-102.0,-14.0,0.0,8.0,-84.0,192.0,7257.0
2019-12-01 12:11:33,-102.0,-14.0,0.0,8.0,-84.0,0.0,0.0
2019-12-01 12:11:34,-101.0,-15.0,4.0,8.0,-84.0,100.0,1231.0
2019-12-01 12:11:35,-101.0,-15.0,4.0,8.0,-84.0,592.0,16389.0
2019-12-01 12:11:36,-102.0,-13.0,-4.0,8.0,-84.0,2.0,1.0
2019-12-01 12:11:37,-102.0,-13.0,-4.0,11.0,-84.0,0.0,0.0
2019-12-01 12:11:38,-102.0,-11.0,11.0,11.0,-84.0,0.0,0.0
2019-12-01 12:11:39,-102.0,-11.0,11.0,11.0,-84.0,0.0,0.0
2019-12-01 12:11:40,-102.0,-12.0,5.0,11.0,-84.0,1.0,2.0
2019-12-01 12:11:42,-102.0,-12.0,5.0,11.0,-84.0,3.0,0.0
2019-12-01 12:11:43,-102.0,-16.0,3.0,11.0,-84.0,0.0,0.0
2019-12-01 12:11:44,-102.0,-16.0,3.0,11.0,-84.0,1.0,0.0
2019-12-01 12:11:45,-102.0,-11.0,7.0,11.0,-84.0,0.0,0.0
2019-12-01 12:11:46,-102.0,-11.0,7.0,11.0,-84.0,1.0,0.0
2019-12-01 12:11:47,-102.0,-11.0,8.0,11.0,-84.0,0.0,0.0
2019-12-01 12:11:48,-102.0,-11.0,8.0,12.0,-86.0,13.0,52.0
2019-12-01 12:11:49,-101.0,-11.0,5.0,10.0,-86.0,0.0,0.0
2019-12-01 12:11:50,-101.0,-11.0,5.0,15.0,-86.0,0.0,0.0
2019-12-01 12:11:51,-100.0,-9.0,7.0,15.0,-86.0,0.0,0.0
2019-12-01 12:11:52,-100.0,-9.0,7.0,15.0,-86.0,1.0,1.0
2019-12-01 12:11:54,-101.0,-14.0,4.0,15.0,-86.0,0.0,0.0
2019-12-01 12:11:55,-101.0,-14.0,4.0,14.0,-86.0,0.0,0.0
2019-12-01 12:11:56,-100.0,-10.0,6.0,12.0,-88.0,0.0,0.0
2019-12-01 12:11:57,-100.0,-10.0,6.0,12.0,-88.0,3.0,3.0
2019-12-01 12:11:58,-100.0,-11.0,6.0,9.0,-86.0,0.0,0.0
2019-12-01 12:11:59,-100.0,-11.0,6.0,9.0,-86.0,0.0,0.0
2019-12-01 12:12:00,-100.0,-12.0,-4.0,9.0,-86.0,0.0,0.0
2019-12-01 12:12:01,-100.0,-12.0,-4.0,9.0,-86.0,0.0,0.0
2019-12-01 12:12:02,-100.0,-13.0,3.0,9.0,-86.0,0.0,0.0
2019-12-01 12:12:03,-100.0,-13.0,3.0,9.0,-86.0,0.0,0.0
2019-12-01 12:12:05,-100.0,-16.0,7.0,9.0,-86.0,2.0,3.0
2019-12-01 12:12:06,-100.0,-16.0,7.0,9.0,-86.0,0.0,0.0
2019-12-01 12:12:07,-101.0,-14.0,-4.0,9.0,-86.0,0.0,0.0
2019-12-01 12:12:08,-101.0,-14.0,-4.0,13.0,-84.0,0.0,0.0
2019-12-01 12:12:09,-98.0,-15.0,4.0,13.0,-87.0,399.0,12226.0
2019-12-01 12:12:10,-98.0,-15.0,4.0,10.0,-84.0,934.0,42741.0
2019-12-01 12:12:11,-98.0,-13.0,4.0,10.0,-84.0,2156.0,35773.0
2019-12-01 12:12:13,-98.0,-13.0,4.0,10.0,-84.0,421.0,28744.0
2019-12-01 12:12:14,-99.0,-12.0,11.0,14.0,-82.0,10.0,283.0
2019-12-01 12:12:15,-99.0,-12.0,11.0,14.0,-82.0,14.0,635.0
2019-12-01 12:12:16,-100.0,-15.0,-9.0,14.0,-82.0,12.0,280.0
2019-12-01 12:12:17,-100.0,-15.0,-9.0,14.0,-82.0,0.0,0.0
2019-12-01 12:12:18,-100.0,-16.0,4.0,12.0,-84.0,10.0,280.0
2019-12-01 12:12:19,-100.0,-16.0,4.0,12.0,-84.0,19.0,1327.0
2019-12-01 12:12:21,-100.0,-16.0,2.0,14.0,-82.0,9.0,276.0
2019-12-01 12:12:22,-100.0,-16.0,2.0,14.0,-85.0,14.0,641.0
2019-12-01 12:12:23,-101.0,-16.0,2.0,14.0,-85.0,10.0,283.0
2019-12-01 12:12:24,-101.0,-16.0,2.0,14.0,-85.0,0.0,0.0
2019-12-01 12:12:25,-100.0,-12.0,3.0,14.0,-85.0,7.0,405.0
2019-12-01 12:12:26,-100.0,-12.0,3.0,14.0,-85.0,15.0,554.0
2019-12-01 12:12:27,-100.0,-12.0,6.0,14.0,-85.0,11.0,277.0
2019-12-01 12:12:28,-100.0,-12.0,6.0,14.0,-87.0,0.0,0.0
2019-12-01 12:12:30,-100.0,-14.0,-1.0,14.0,-87.0,30.0,2512.0
2019-12-01 12:12:31,-100.0,-14.0,-1.0,12.0,-84.0,0.0,0.0
2019-12-01 12:12:32,-101.0,-12.0,1.0,12.0,-84.0,10.0,279.0
2019-12-01 12:12:33,-101.0,-12.0,1.0,12.0,-84.0,22.0,1580.0
2019-12-01 12:12:34,-101.0,-11.0,7.0,12.0,-84.0,9.0,280.0
2019-12-01 12:12:35,-101.0,-11.0,7.0,12.0,-84.0,0.0,0.0
2019-12-01 12:12:36,-99.0,-12.0,9.0,12.0,-84.0,10.0,279.0
2019-12-01 12:12:37,-99.0,-12.0,9.0,12.0,-84.0,38.0,2303.0
2019-12-01 12:12:39,-99.0,-16.0,8.0,12.0,-84.0,0.0,0.0
2019-12-01 12:12:40,-99.0,-16.0,8.0,14.0,-84.0,10.0,279.0
2019-12-01 12:12:41,-99.0,-15.0,6.0,12.0,-82.0,16.0,1331.0
2019-12-01 12:12:42,-99.0,-15.0,6.0,12.0,-82.0,10.0,280.0
2019-12-01 12:12:43,-98.0,-10.0,-4.0,12.0,-82.0,0.0,0.0
2019-12-01 12:12:44,-98.0,-10.0,-4.0,12.0,-82.0,9.0,277.0
2019-12-01 12:12:45,-101.0,-12.0,7.0,12.0,-82.0,14.0,717.0
2019-12-01 12:12:46,-101.0,-12.0,7.0,12.0,-82.0,10.0,278.0
2019-12-01 12:12:48,-100.0,-13.0,-2.0,13.0,-84.0,0.0,0.0
2019-12-01 12:12:49,-100.0,-13.0,-2.0,13.0,-84.0,23.0,2601.0
2019-12-01 12:12:50,-99.0,-13.0,4.0,13.0,-84.0,0.0,0.0
2019-12-01 12:12:51,-99.0,-13.0,4.0,13.0,-84.0,10.0,281.0
2019-12-01 12:12:52,-99.0,-16.0,6.0,13.0,-84.0,0.0,0.0
2019-12-01 12:12:53,-99.0,-16.0,6.0,13.0,-84.0,19.0,871.0
2019-12-01 12:12:54,-99.0,-15.0,-9.0,13.0,-86.0,0.0,0.0
2019-12-01 12:12:55,-99.0,-15.0,-9.0,13.0,-86.0,7.0,279.0
2019-12-01 12:12:56,-100.0,-13.0,2.0,13.0,-86.0,0.0,0.0
2019-12-01 12:12:58,-100.0,-13.0,2.0,13.0,-86.0,6.0,279.0
2019-12-01 12:12:59,-99.0,-13.0,8.0,13.0,-86.0,13.0,1154.0
2019-12-01 12:13:00,-99.0,-13.0,8.0,13.0,-86.0,5.0,277.0
2019-12-01 12:13:01,-99.0,-14.0,8.0,13.0,-86.0,0.0,0.0
2019-12-01 12:13:02,-99.0,-14.0,8.0,13.0,-86.0,5.0,285.0
2019-12-01 12:13:03,-100.0,-10.0,17.0,13.0,-86.0,0.0,0.0
2019-12-01 12:13:04,-100.0,-10.0,17.0,14.0,-88.0,15.0,1354.0
2019-12-01 12:13:05,-99.0,-14.0,10.0,14.0,-88.0,10.0,280.0
2019-12-01 12:13:07,-99.0,-14.0,10.0,14.0,-88.0,0.0,0.0
