date,RSRP,RSRQ,SNR,CQI,RSSI,UL_bitrate,DL_bitrate
2019-11-28 07:27:57,-102.0,-10.0,8.0,14.0,0,0.0,0.0
2019-11-28 07:27:58,-102.0,-10.0,8.0,14.0,0,2.0,0.0
2019-11-28 07:27:59,-102.0,-10.0,3.0,14.0,0,2.0,3.0
2019-11-28 07:28:00,-102.0,-10.0,3.0,14.0,0,13.0,9.0
2019-11-28 07:28:01,-103.0,-11.0,6.0,14.0,0,93.0,926.0
2019-11-28 07:28:02,-103.0,-11.0,6.0,14.0,0,146.0,2814.0
2019-11-28 07:28:03,-100.0,-11.0,1.0,14.0,0,0.0,0.0
2019-11-28 07:28:04,-100.0,-11.0,1.0,14.0,0,165.0,1872.0
2019-11-28 07:28:05,-100.0,-9.0,8.0,14.0,0,4.0,23.0
2019-11-28 07:28:06,-100.0,-9.0,8.0,14.0,0,17.0,168.0
2019-11-28 07:28:07,-101.0,-9.0,11.0,14.0,0,167.0,2719.0
2019-11-28 07:28:08,-101.0,-9.0,11.0,13.0,0,318.0,13321.0
2019-11-28 07:28:09,-100.0,-10.0,12.0,13.0,0,0.0,0.0
2019-11-28 07:28:10,-100.0,-10.0,12.0,13.0,0,118.0,4755.0
2019-11-28 07:28:12,-100.0,-9.0,9.0,13.0,0,628.0,39982.0
2019-11-28 07:28:13,-100.0,-9.0,9.0,13.0,0,1949.0,38234.0
2019-11-28 07:28:14,-101.0,-9.0,9.0,12.0,0,74.0,7677.0
2019-11-28 07:28:15,-101.0,-9.0,9.0,12.0,0,0.0,0.0
2019-11-28 07:28:16,-100.0,-8.0,6.0,12.0,0,0.0,0.0
2019-11-28 07:28:17,-100.0,-8.0,6.0,12.0,0,0.0,0.0
2019-11-28 07:28:18,-100.0,-9.0,10.0,12.0,0,0.0,0.0
2019-11-28 07:28:19,-100.0,-9.0,10.0,12.0,0,0.0,0.0
2019-11-28 07:28:21,-99.0,-10.0,7.0,12.0,0,30.0,2914.0
2019-11-28 07:28:22,-99.0,-10.0,7.0,14.0,-80.0,6.0,278.0
2019-11-28 07:28:23,-99.0,-10.0,10.0,14.0,-80.0,0.0,0.0
2019-11-28 07:28:24,-99.0,-10.0,10.0,13.0,-82.0,8.0,279.0
2019-11-28 07:28:25,-99.0,-13.0,10.0,13.0,-82.0,6.0,0.0
2019-11-28 07:28:26,-99.0,-13.0,10.0,13.0,-82.0,9.0,1048.0
2019-11-28 07:28:27,-99.0,-10.0,5.0,10.0,-84.0,25.0,948.0
2019-11-28 07:28:28,-99.0,-10.0,5.0,12.0,-81.0,0.0,0.0
2019-11-28 07:28:30,-99.0,-9.0,10.0,12.0,-81.0,8.0,280.0
2019-11-28 07:28:31,-99.0,-9.0,10.0,12.0,-81.0,42.0,1906.0
2019-11-28 07:28:32,-99.0,-10.0,9.0,12.0,-81.0,8.0,278.0
2019-11-28 07:28:33,-99.0,-10.0,9.0,12.0,-81.0,0.0,0.0
2019-11-28 07:28:34,-98.0,-10.0,15.0,12.0,-81.0,49.0,3337.0
2019-11-28 07:28:35,-98.0,-10.0,15.0,12.0,-81.0,9.0,277.0
2019-11-28 07:28:36,-101.0,-11.0,5.0,12.0,-87.0,0.0,0.0
2019-11-28 07:28:37,-101.0,-11.0,5.0,12.0,-87.0,9.0,279.0
2019-11-28 07:28:39,-101.0,-12.0,8.0,12.0,-87.0,29.0,1290.0
2019-11-28 07:28:40,-101.0,-12.0,8.0,14.0,-85.0,9.0,281.0
2019-11-28 07:28:41,-99.0,-10.0,15.0,14.0,-85.0,0.0,0.0
2019-11-28 07:28:42,-99.0,-10.0,15.0,12.0,-85.0,24.0,1134.0
2019-11-28 07:28:43,-96.0,-9.0,14.0,14.0,-87.0,0.0,0.0
2019-11-28 07:28:44,-96.0,-9.0,14.0,14.0,-87.0,9.0,276.0
2019-11-28 07:28:45,-98.0,-9.0,11.0,13.0,-90.0,0.0,0.0
2019-11-28 07:28:46,-98.0,-9.0,11.0,13.0,-90.0,23.0,1053.0
2019-11-28 07:28:48,-99.0,-9.0,13.0,13.0,-90.0,8.0,280.0
2019-11-28 07:28:49,-99.0,-9.0,13.0,13.0,-88.0,0.0,0.0
2019-11-28 07:28:50,-99.0,-9.0,13.0,13.0,-88.0,8.0,278.0
2019-11-28 07:28:51,-99.0,-9.0,13.0,13.0,-88.0,18.0,1137.0
2019-11-28 07:28:52,-100.0,-10.0,13.0,13.0,-88.0,7.0,277.0
2019-11-28 07:28:53,-100.0,-10.0,13.0,13.0,-90.0,24.0,1050.0
2019-11-28 07:28:54,-98.0,-9.0,13.0,15.0,-88.0,0.0,0.0
2019-11-28 07:28:56,-98.0,-9.0,13.0,15.0,-88.0,9.0,283.0
2019-11-28 07:28:57,-97.0,-9.0,12.0,14.0,-86.0,869.0,759.0
2019-11-28 07:28:58,-97.0,-9.0,12.0,11.0,-90.0,349.0,311.0
2019-11-28 07:28:59,-102.0,-10.0,12.0,11.0,-90.0,18.0,860.0
2019-11-28 07:29:00,-102.0,-10.0,12.0,12.0,-88.0,9.0,277.0
2019-11-28 07:29:01,-101.0,-9.0,9.0,12.0,-88.0,0.0,0.0
2019-11-28 07:29:02,-101.0,-9.0,9.0,12.0,-88.0,23.0,855.0
2019-11-28 07:29:03,-100.0,-10.0,8.0,14.0,-85.0,0.0,1.0
