Speed,CellID,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,NRxRSRP,NRxRSRQ,date
0,12,-99,-15.0,6.0,12.0,-90.0,7,1,-100.0,-15.0,2019-12-14 10:16:30
1,12,-99,-15.0,6.0,12.0,-90.0,7,1,-100.0,-15.0,2019-12-14 10:16:31
1,12,-102,-14.0,6.0,12.0,-90.0,0,0,-99.0,-15.0,2019-12-14 10:16:32
1,12,-102,-14.0,6.0,12.0,-90.0,9,12,-99.0,-15.0,2019-12-14 10:16:33
1,12,-102,-14.0,4.0,12.0,-90.0,0,0,-99.0,-14.0,2019-12-14 10:16:34
1,12,-102,-14.0,4.0,12.0,-90.0,0,0,-99.0,-14.0,2019-12-14 10:16:36
1,12,-102,-13.0,4.0,12.0,-90.0,0,0,-98.0,-15.0,2019-12-14 10:16:37
1,12,-102,-13.0,4.0,12.0,-90.0,0,0,-98.0,-15.0,2019-12-14 10:16:38
1,12,-102,-13.0,4.0,15.0,-92.0,0,0,-98.0,-15.0,2019-12-14 10:16:39
1,12,-103,-15.0,-6.0,9.0,-89.42857142857143,14316,227,-99.0,-13.0,2019-12-14 10:16:40
1,12,-102,-12.0,6.0,9.0,-88.85714285714286,10620,99,-97.0,-13.0,2019-12-14 10:16:41
1,12,-102,-12.0,6.0,9.0,-88.28571428571429,16739,119,-97.0,-13.0,2019-12-14 10:16:42
1,12,-101,-11.0,7.0,14.0,-87.71428571428571,18803,167,-99.0,-13.0,2019-12-14 10:16:44
1,12,-101,-11.0,7.0,14.0,-87.14285714285714,8023,107,-99.0,-13.0,2019-12-14 10:16:45
1,12,-100,-10.0,5.0,14.0,-86.57142857142857,7399,92,-97.0,-16.0,2019-12-14 10:16:46
1,12,-100,-10.0,5.0,13.0,-86.0,10045,80,-97.0,-16.0,2019-12-14 10:16:47
1,12,-101,-11.0,2.0,12.0,-89.0,12042,94,-98.0,-17.0,2019-12-14 10:16:48
1,12,-101,-11.0,2.0,12.0,-91.0,12772,100,-98.0,-17.0,2019-12-14 10:16:49
1,12,-99,-14.0,7.0,12.0,-91.0,16067,135,-104.0,-13.0,2019-12-14 10:16:50
1,12,-99,-14.0,7.0,12.0,-91.0,5862,57,-104.0,-13.0,2019-12-14 10:16:51
1,12,-98,-12.0,12.0,8.0,-88.0,2,3,-97.0,-16.0,2019-12-14 10:16:53
1,12,-98,-12.0,12.0,12.0,-92.0,39077,623,-97.0,-16.0,2019-12-14 10:16:54
1,12,-101,-10.0,5.0,12.0,-92.0,35611,180,-107.0,-15.0,2019-12-14 10:16:55
1,12,-101,-10.0,5.0,12.0,-92.0,22253,144,-107.0,-15.0,2019-12-14 10:16:56
1,12,-100,-14.0,8.0,12.0,-92.0,27177,154,-103.0,-15.0,2019-12-14 10:16:57
1,12,-100,-14.0,8.0,10.0,-88.0,23112,176,-103.0,-15.0,2019-12-14 10:16:58
