date,RSRP,RSRQ,SNR,CQI,RSSI,UL_bitrate,DL_bitrate
2019-11-23 12:27:34,-85.0,-10.0,7.0,13.0,-71.0,2.0,1.0
2019-11-23 12:27:35,-87.0,-12.0,4.0,13.0,-71.0,0.0,0.0
2019-11-23 12:27:36,-87.0,-12.0,4.0,10.0,-71.0,12.0,9.0
2019-11-23 12:27:37,-88.0,-8.0,8.0,10.0,-77.0,0.0,0.0
2019-11-23 12:27:38,-88.0,-8.0,8.0,13.0,-73.0,14.0,49.0
2019-11-23 12:27:39,-84.0,-8.0,13.0,13.0,-73.0,453.0,5721.0
2019-11-23 12:27:40,-84.0,-8.0,13.0,15.0,-73.0,1009.0,41296.0
2019-11-23 12:27:41,-80.0,-7.0,21.0,15.0,-77.0,990.0,36804.0
2019-11-23 12:27:42,-80.0,-7.0,21.0,13.0,-71.0,354.0,10729.0
2019-11-23 12:27:43,-80.0,-8.0,18.0,12.0,-74.0,370.0,37457.0
2019-11-23 12:27:44,-80.0,-8.0,18.0,12.0,-74.0,281.0,34951.0
2019-11-23 12:27:45,-81.0,-10.0,18.0,12.0,-74.0,235.0,28028.0
2019-11-23 12:27:47,-81.0,-10.0,18.0,12.0,-74.0,331.0,42319.0
2019-11-23 12:27:48,-80.0,-8.0,13.0,11.0,-76.0,529.0,52522.0
2019-11-23 12:27:49,-80.0,-8.0,13.0,11.0,-76.0,9.0,145.0
2019-11-23 12:27:50,-83.0,-9.0,15.0,10.0,-76.0,4.0,30.0
2019-11-23 12:27:51,-83.0,-9.0,15.0,10.0,-76.0,0.0,0.0
2019-11-23 12:27:52,-81.0,-10.0,13.0,10.0,-76.0,0.0,0.0
2019-11-23 12:27:53,-81.0,-10.0,13.0,12.0,-73.0,0.0,0.0
2019-11-23 12:27:54,-80.0,-8.0,13.0,11.0,-71.0,1.0,1.0
2019-11-23 12:27:55,-80.0,-8.0,13.0,11.0,-71.0,6.0,3.0
2019-11-23 12:27:56,-81.0,-9.0,9.0,11.0,-74.0,4.0,1.0
2019-11-23 12:27:57,-81.0,-9.0,9.0,14.0,-77.0,2.0,1.0
2019-11-23 12:27:58,-83.0,-9.0,6.0,10.0,-77.0,1.0,0.0
2019-11-23 12:27:59,-83.0,-9.0,6.0,13.0,-67.0,5.0,3.0
2019-11-23 12:28:01,-84.0,-8.0,3.0,9.0,-69.0,0.0,0.0
2019-11-23 12:28:02,-84.0,-8.0,3.0,9.0,-69.0,6.0,2.0
2019-11-23 12:28:03,-82.0,-8.0,7.0,10.0,-72.0,3.0,1.0
2019-11-23 12:28:04,-82.0,-8.0,7.0,10.0,-72.0,4.0,2.0
2019-11-23 12:28:05,-85.0,-9.0,13.0,12.0,-74.0,1.0,1.0
2019-11-23 12:28:06,-85.0,-9.0,13.0,12.0,-74.0,0.0,0.0
2019-11-23 12:28:07,-83.0,-9.0,14.0,12.0,-71.0,0.0,0.0
2019-11-23 12:28:08,-83.0,-9.0,14.0,12.0,-71.0,0.0,0.0
2019-11-23 12:28:09,-78.0,-8.0,14.0,12.0,-71.0,10.0,0.0
2019-11-23 12:28:10,-78.0,-8.0,14.0,13.0,-68.0,208.0,83.0
2019-11-23 12:28:11,-76.0,-8.0,9.0,11.0,-65.0,1.0,1.0
2019-11-23 12:28:12,-76.0,-8.0,9.0,10.0,-72.0,0.0,0.0
2019-11-23 12:28:13,-81.0,-8.0,16.0,10.0,-72.0,0.0,0.0
2019-11-23 12:28:15,-81.0,-8.0,16.0,8.0,-69.0,0.0,0.0
2019-11-23 12:28:16,-90.0,-10.0,6.0,15.0,-73.0,3.0,2.0
2019-11-23 12:28:17,-90.0,-10.0,6.0,12.0,-79.0,18.0,45.0
2019-11-23 12:28:18,-87.0,-9.0,8.0,11.0,-81.0,14.0,34.0
2019-11-23 12:28:19,-87.0,-9.0,8.0,11.0,-81.0,3.0,1.0
