date,RSRP,RSRQ,SNR,CQI,RSSI,UL_bitrate,DL_bitrate
2019-11-20 16:55:16,-79.0,-12.0,10.0,8.0,-61.0,2.0,2.0
2019-11-20 16:55:17,-79.0,-12.0,7.0,8.0,-61.0,0.0,0.0
2019-11-20 16:55:18,-78.0,-12.0,10.0,8.0,-61.0,2.0,2.0
2019-11-20 16:55:19,-78.0,-12.0,10.0,8.0,-61.0,0.0,0.0
2019-11-20 16:55:20,-78.0,-12.0,11.0,8.0,-61.0,0.0,0.0
2019-11-20 16:55:21,-78.0,-12.0,11.0,8.0,-61.0,14.0,49.0
2019-11-20 16:55:22,-77.0,-12.0,10.0,8.0,-61.0,203.0,726.0
2019-11-20 16:55:23,-77.0,-12.0,10.0,8.0,-61.0,403.0,6148.0
2019-11-20 16:55:25,-90.0,-13.0,7.0,8.0,-61.0,489.0,5660.0
2019-11-20 16:55:26,-90.0,-13.0,7.0,7.0,-77.0,316.0,8593.0
2019-11-20 16:55:27,-94.0,-14.0,3.0,7.0,-77.0,401.0,9656.0
2019-11-20 16:55:28,-94.0,-14.0,3.0,7.0,-77.0,747.0,13481.0
2019-11-20 16:55:29,-93.0,-14.0,0.0,7.0,-77.0,445.0,10268.0
2019-11-20 16:55:30,-93.0,-14.0,0.0,7.0,-77.0,430.0,10640.0
2019-11-20 16:55:31,-93.0,-14.0,0.0,7.0,-77.0,503.0,13356.0
2019-11-20 16:55:32,-93.0,-14.0,0.0,9.0,-75.0,607.0,20170.0
2019-11-20 16:55:33,-92.0,-13.0,2.0,6.0,-75.0,184.0,8455.0
2019-11-20 16:55:34,-92.0,-13.0,2.0,6.0,-75.0,341.0,14460.0
2019-11-20 16:55:35,-92.0,-14.0,3.0,6.0,-75.0,175.0,8548.0
2019-11-20 16:55:36,-92.0,-14.0,3.0,6.0,-75.0,166.0,7609.0
2019-11-20 16:55:37,-93.0,-14.0,1.0,6.0,-75.0,81.0,4254.0
2019-11-20 16:55:39,-93.0,-14.0,1.0,6.0,-75.0,179.0,8093.0
2019-11-20 16:55:40,-91.0,-13.0,2.0,6.0,-75.0,131.0,6279.0
2019-11-20 16:55:41,-91.0,-13.0,2.0,6.0,-75.0,72.0,3445.0
2019-11-20 16:55:42,-92.0,-14.0,0.0,6.0,-75.0,94.0,3780.0
2019-11-20 16:55:43,-92.0,-14.0,0.0,6.0,-75.0,82.0,2893.0
2019-11-20 16:55:44,-92.0,-13.0,0.0,6.0,-75.0,7.0,102.0
2019-11-20 16:55:45,-92.0,-13.0,0.0,6.0,-75.0,67.0,2813.0
2019-11-20 16:55:46,-92.0,-12.0,2.0,6.0,-75.0,88.0,4034.0
2019-11-20 16:55:47,-92.0,-12.0,2.0,6.0,-75.0,203.0,12030.0
2019-11-20 16:55:48,-92.0,-12.0,3.0,6.0,-75.0,245.0,12653.0
2019-11-20 16:55:49,-92.0,-12.0,3.0,6.0,-75.0,96.0,4885.0
2019-11-20 16:55:50,-92.0,-14.0,2.0,6.0,-75.0,183.0,6211.0
2019-11-20 16:55:51,-92.0,-14.0,2.0,6.0,-75.0,200.0,8086.0
2019-11-20 16:55:53,-92.0,-12.0,4.0,6.0,-75.0,18.0,1069.0
2019-11-20 16:55:54,-92.0,-12.0,4.0,6.0,-75.0,0.0,0.0
2019-11-20 16:55:55,-93.0,-13.0,-1.0,6.0,-75.0,0.0,0.0
2019-11-20 16:55:56,-93.0,-13.0,-1.0,6.0,-75.0,0.0,0.0
2019-11-20 16:55:57,-93.0,-13.0,0.0,6.0,-75.0,0.0,0.0
2019-11-20 16:55:58,-93.0,-13.0,0.0,6.0,-75.0,0.0,0.0
2019-11-20 16:55:59,-93.0,-13.0,2.0,6.0,-75.0,0.0,0.0
2019-11-20 16:56:00,-93.0,-13.0,2.0,6.0,-75.0,0.0,0.0
