lat,lon,speed,lCurrentCellid,lEnbId,lSectorId,lPhyCellId,lDlModulation,lCqi,lRi,lMcs,lRssi,lRsrp,lRsrq,lSinr,lNrDlModulation,lNrRsrp,lNrRsrq,lNrSinr,lrxpacketspersecond,lrxbitspersecond,ltxpacketspersecond,ltxbitspersecond,5G NSA,5G SA,LTE,phy-cellid,PrimaryBandMhz,primaryBandMapping,caBandMappingSum,ulcaBandMappingSum,date
54.396216,10.204291,11.967624,52091413.0,203482.0,21.0,65.0,4.0,15.0,1.0,15.0,-40.0,-72.0,-70.0,20.0,0.0,0.0,0.0,0.0,8,9344,10,11552,0.0,0.0,1.0,65,20,20.0,30,20,2024-02-15 12:55:00
54.396246,10.2043,12.262092,52091413.0,203482.0,21.0,65.0,4.0,15.0,1.0,16.0,-38.0,-69.0,-80.0,19.0,0.0,0.0,0.0,0.0,12,20808,9,8912,0.0,0.0,1.0,65,20,20.0,30,20,2024-02-15 12:55:01
54.396274,10.204311,11.987996,52091413.0,203482.0,21.0,65.0,4.0,15.0,1.0,16.0,-38.0,-69.0,-80.0,19.0,0.0,0.0,0.0,0.0,9,10192,9,10192,0.0,0.0,1.0,65,20,20.0,30,20,2024-02-15 12:55:02
54.396304,10.204325,12.256536,52091413.0,203482.0,21.0,65.0,4.0,15.0,1.0,16.0,-38.0,-69.0,-80.0,19.0,0.0,0.0,0.0,0.0,12,11656,14,13744,0.0,0.0,1.0,65,20,20.0,30,20,2024-02-15 12:55:03
54.396333,10.204338,12.252832,52091413.0,203482.0,21.0,65.0,4.0,15.0,1.0,16.0,-38.0,-69.0,-80.0,19.0,0.0,0.0,0.0,0.0,10,10488,10,9920,0.0,0.0,1.0,65,20,20.0,30,20,2024-02-15 12:55:04
54.396363,10.204351,12.045408,52091413.0,203482.0,21.0,65.0,6.0,13.0,1.0,18.0,-42.0,-69.0,-70.0,19.0,0.0,0.0,0.0,0.0,13,14616,13,14112,0.0,0.0,1.0,65,20,20.0,30,20,2024-02-15 12:55:05
54.396391,10.204368,12.236164,52091413.0,203482.0,21.0,65.0,6.0,13.0,1.0,18.0,-42.0,-69.0,-70.0,19.0,0.0,0.0,0.0,0.0,20,23552,22,30728,0.0,0.0,1.0,65,20,20.0,30,20,2024-02-15 12:55:06
54.396421,10.204385,12.128748,52091413.0,203482.0,21.0,65.0,6.0,13.0,1.0,18.0,-42.0,-69.0,-70.0,19.0,0.0,0.0,0.0,0.0,44,96504,43,127672,0.0,0.0,1.0,65,20,20.0,30,20,2024-02-15 12:55:07
54.396449,10.204401,12.188012,52091413.0,203482.0,21.0,65.0,6.0,13.0,1.0,23.0,-42.0,-70.0,-70.0,19.0,0.0,0.0,0.0,0.0,33,35280,35,54424,0.0,0.0,1.0,65,20,20.0,30,20,2024-02-15 12:55:08
54.396478,10.20442,12.293576,52091413.0,203482.0,21.0,65.0,6.0,13.0,1.0,23.0,-42.0,-70.0,-70.0,19.0,0.0,0.0,0.0,0.0,25,26248,24,44088,0.0,0.0,1.0,65,20,20.0,30,20,2024-02-15 12:55:09
54.396506,10.204438,12.312096,52091413.0,203482.0,21.0,65.0,6.0,13.0,1.0,23.0,-42.0,-70.0,-70.0,19.0,0.0,0.0,0.0,0.0,11,12240,11,12144,0.0,0.0,1.0,65,20,20.0,30,20,2024-02-15 12:55:10
54.396534,10.204455,12.191716,52091413.0,203482.0,21.0,65.0,6.0,15.0,1.0,19.0,-41.0,-69.0,-70.0,19.0,0.0,0.0,0.0,0.0,45,92592,65,69576,0.0,0.0,1.0,65,20,20.0,30,20,2024-02-15 12:55:11
54.396563,10.204473,12.30654,52091413.0,203482.0,21.0,65.0,6.0,15.0,1.0,19.0,-41.0,-69.0,-70.0,19.0,0.0,0.0,0.0,0.0,42,65072,38,42176,0.0,0.0,1.0,65,20,20.0,30,20,2024-02-15 12:55:12
54.396593,10.204491,12.328764,52091413.0,203482.0,21.0,65.0,6.0,15.0,1.0,19.0,-41.0,-69.0,-70.0,19.0,0.0,0.0,0.0,0.0,16,15936,15,15104,0.0,0.0,1.0,65,20,20.0,30,20,2024-02-15 12:55:13
54.396621,10.20451,12.493592,52091413.0,203482.0,21.0,65.0,4.0,15.0,1.0,16.0,-42.0,-69.0,-70.0,20.0,0.0,0.0,0.0,0.0,10,10536,10,10160,0.0,0.0,1.0,65,20,20.0,30,20,2024-02-15 12:55:14
54.396651,10.204528,12.51026,52091413.0,203482.0,21.0,65.0,4.0,15.0,1.0,16.0,-42.0,-69.0,-70.0,20.0,0.0,0.0,0.0,0.0,9,10448,9,10448,0.0,0.0,1.0,65,20,20.0,30,20,2024-02-15 12:55:15
54.396681,10.204545,12.738056,52091413.0,203482.0,21.0,65.0,4.0,15.0,1.0,16.0,-42.0,-69.0,-70.0,20.0,0.0,0.0,0.0,0.0,27,78872,34,205616,0.0,0.0,1.0,65,20,20.0,30,20,2024-02-15 12:55:16
54.396711,10.204563,12.738056,52091413.0,203482.0,21.0,65.0,2.0,13.0,1.0,0.0,-43.0,-71.0,-70.0,17.0,0.0,0.0,0.0,0.0,11,11816,10,10744,0.0,0.0,1.0,65,20,20.0,30,20,2024-02-15 12:55:17
54.396741,10.204578,12.51952,52091413.0,203482.0,21.0,65.0,2.0,13.0,1.0,0.0,-43.0,-71.0,-70.0,17.0,0.0,0.0,0.0,0.0,8,8832,8,8832,0.0,0.0,1.0,65,20,20.0,30,20,2024-02-15 12:55:18
54.396773,10.204595,12.728796,52091413.0,203482.0,21.0,65.0,2.0,13.0,1.0,0.0,-43.0,-71.0,-70.0,17.0,0.0,0.0,0.0,0.0,9,9352,9,9384,0.0,0.0,1.0,65,20,20.0,30,20,2024-02-15 12:55:19
54.396803,10.204611,12.571376,52091413.0,203482.0,21.0,65.0,4.0,15.0,1.0,14.0,-46.0,-76.0,-80.0,15.0,0.0,0.0,0.0,0.0,86,281288,91,117008,0.0,0.0,1.0,65,20,20.0,30,20,2024-02-15 12:55:20
54.396834,10.204628,12.965852,52091413.0,203482.0,21.0,65.0,4.0,15.0,1.0,14.0,-46.0,-76.0,-80.0,15.0,0.0,0.0,0.0,0.0,41,105968,35,34512,0.0,0.0,1.0,65,20,20.0,30,20,2024-02-15 12:55:21
54.396864,10.204641,12.656568,52091413.0,203482.0,21.0,65.0,4.0,15.0,1.0,14.0,-46.0,-76.0,-80.0,15.0,0.0,0.0,0.0,0.0,10,11000,11,10952,0.0,0.0,1.0,65,20,20.0,30,20,2024-02-15 12:55:22
54.396894,10.204655,12.689904,52091413.0,203482.0,21.0,65.0,4.0,14.0,1.0,14.0,-40.0,-68.0,-80.0,20.0,0.0,0.0,0.0,0.0,62,202016,65,102728,0.0,0.0,1.0,65,20,20.0,30,20,2024-02-15 12:55:23
54.396926,10.204666,12.821396,52091413.0,203482.0,21.0,65.0,4.0,14.0,1.0,14.0,-40.0,-68.0,-80.0,20.0,0.0,0.0,0.0,0.0,16,23584,16,15800,0.0,0.0,1.0,65,20,20.0,30,20,2024-02-15 12:55:24
54.396956,10.204678,12.79732,52091413.0,203482.0,21.0,65.0,4.0,14.0,1.0,14.0,-40.0,-68.0,-80.0,20.0,0.0,0.0,0.0,0.0,24,90480,25,49064,0.0,0.0,1.0,65,20,20.0,30,20,2024-02-15 12:55:25
54.396988,10.204688,12.951036,52091413.0,203482.0,21.0,65.0,4.0,15.0,1.0,15.0,-40.0,-67.0,-70.0,21.0,0.0,0.0,0.0,0.0,12,16040,11,11936,0.0,0.0,1.0,65,20,20.0,30,20,2024-02-15 12:55:26
54.397019,10.204698,12.938072,52091413.0,203482.0,21.0,65.0,4.0,15.0,1.0,15.0,-40.0,-67.0,-70.0,21.0,0.0,0.0,0.0,0.0,8,8696,9,9424,0.0,0.0,1.0,65,20,20.0,30,20,2024-02-15 12:55:27
54.397051,10.204706,12.89918,52091413.0,203482.0,21.0,65.0,4.0,15.0,1.0,15.0,-40.0,-67.0,-70.0,21.0,0.0,0.0,0.0,0.0,24,53936,25,44648,0.0,0.0,1.0,65,20,20.0,30,20,2024-02-15 12:55:28
54.397083,10.204715,13.123272,52091413.0,203482.0,21.0,65.0,4.0,15.0,1.0,16.0,-40.0,-74.0,-80.0,19.0,0.0,0.0,0.0,0.0,8,9088,9,10192,0.0,0.0,1.0,65,20,20.0,30,20,2024-02-15 12:55:29
