gps.lat,gps.lon,lte.lCurrentCellid,lte.lEnbId,lte.lSectorId,lte.lPhyCellId,lte.lCqi,lte.lRi,lte.lMcs,lte.lRssi,lte.lRsrp,lte.lRsrq,lte.lSinr,lte.lNrRsrp,lte.lNrRsrq,lte.lNrSinr,date,lte.earfcn,phy-cellid,gps.speed-v
54.332496,10.163535,27109120,105895,0,378,13,1,1,-41,-68,-90,14,-77,-110,20,2022-09-13 16:04:43,1300,378,14.691916
54.332492,10.163473,27109120,105895,0,378,13,1,1,-41,-68,-90,14,-77,-110,20,2022-09-13 16:04:44,1300,378,14.595612
54.332491,10.16341,27109120,105895,0,378,13,1,1,-41,-68,-90,14,-77,-110,20,2022-09-13 16:04:45,1300,378,14.56598
54.332486,10.16335,27109120,105895,0,378,15,2,1,-41,-69,-90,16,-78,-110,26,2022-09-13 16:04:46,1300,378,14.562276
54.332482,10.163286,27109120,105895,0,378,15,2,1,-41,-69,-90,16,-78,-110,26,2022-09-13 16:04:47,1300,378,14.832668
54.332479,10.163221,27109120,105895,0,378,15,2,1,-41,-69,-90,16,-78,-110,26,2022-09-13 16:04:48,1300,378,14.830817
54.332476,10.163158,27109120,105895,0,378,12,1,0,-41,-70,-100,16,-77,-110,22,2022-09-13 16:04:49,1300,378,14.801184
54.332472,10.163095,27109120,105895,0,378,12,1,0,-41,-70,-100,16,-77,-110,22,2022-09-13 16:04:50,1300,378,14.753032
54.332467,10.163033,27109120,105895,0,378,12,1,0,-41,-70,-100,16,-77,-110,22,2022-09-13 16:04:51,1300,378,14.641912
54.332464,10.16297,27109120,105895,0,378,10,2,1,-42,-70,-90,14,-78,-110,30,2022-09-13 16:04:52,1300,378,14.767848
54.332459,10.162908,27109120,105895,0,378,10,2,1,-42,-70,-90,14,-78,-110,30,2022-09-13 16:04:53,1300,378,14.762292
54.332454,10.162846,27109120,105895,0,378,10,2,1,-42,-70,-90,14,-78,-110,30,2022-09-13 16:04:54,1300,378,14.664136
54.332449,10.162783,27109120,105895,0,378,9,2,1,-43,-71,-90,14,-72,-110,28,2022-09-13 16:04:55,1300,378,14.688212
54.332446,10.16272,27109120,105895,0,378,9,2,1,-43,-71,-90,14,-72,-110,28,2022-09-13 16:04:56,1300,378,14.736364
54.332441,10.162658,27109120,105895,0,378,9,2,1,-43,-71,-90,14,-72,-110,28,2022-09-13 16:04:57,1300,378,14.654876
54.332436,10.162596,27109120,105895,0,378,11,1,0,-42,-70,-90,14,-70,-110,28,2022-09-13 16:04:58,1300,378,14.560424
54.332431,10.162533,27109120,105895,0,378,11,1,0,-42,-70,-90,14,-70,-110,28,2022-09-13 16:04:59,1300,378,14.682656
54.332426,10.16247,27109120,105895,0,378,11,1,0,-42,-70,-90,14,-70,-110,28,2022-09-13 16:05:00,1300,378,14.795628
54.332421,10.162408,27109120,105895,0,378,11,1,13,-43,-71,-90,14,-67,-110,22,2022-09-13 16:05:01,1300,378,14.632652
54.332416,10.162346,27109120,105895,0,378,11,1,13,-43,-71,-90,14,-67,-110,22,2022-09-13 16:05:02,1300,378,14.493752
54.332411,10.162283,27109120,105895,0,378,11,1,13,-43,-71,-90,14,-67,-110,22,2022-09-13 16:05:03,1300,378,14.632652
54.332407,10.162221,27109120,105895,0,378,10,1,1,-41,-70,-100,14,-66,-110,28,2022-09-13 16:05:04,1300,378,14.55672
54.332402,10.162158,27109120,105895,0,378,10,1,1,-41,-70,-100,14,-66,-110,28,2022-09-13 16:05:05,1300,378,14.573388
54.332397,10.162096,27109120,105895,0,378,10,1,1,-41,-70,-100,14,-66,-110,28,2022-09-13 16:05:06,1300,378,14.530792
54.332392,10.162035,27109120,105895,0,378,12,1,0,-41,-70,-100,12,-65,-110,30,2022-09-13 16:05:07,1300,378,14.688212
54.332387,10.161971,27109120,105895,0,378,12,1,0,-41,-70,-100,12,-65,-110,30,2022-09-13 16:05:08,1300,378,14.678952
54.332382,10.16191,27109120,105895,0,378,12,1,0,-41,-70,-100,12,-65,-110,30,2022-09-13 16:05:09,1300,378,14.534496
54.332377,10.161848,27109120,105895,0,378,10,1,4,-41,-70,-100,12,-65,-110,26,2022-09-13 16:05:10,1300,378,14.708584
54.332372,10.161786,27109120,105895,0,378,10,1,4,-41,-70,-100,12,-65,-110,26,2022-09-13 16:05:11,1300,378,14.610428
54.332367,10.161725,27109120,105895,0,378,10,1,4,-41,-70,-100,12,-65,-110,26,2022-09-13 16:05:12,1300,378,14.675248
54.332362,10.161663,27109120,105895,0,378,9,1,1,-43,-71,-100,10,-65,-110,26,2022-09-13 16:05:13,1300,378,14.5382
54.332357,10.161601,27109120,105895,0,378,9,1,1,-43,-71,-100,10,-65,-110,26,2022-09-13 16:05:14,1300,378,14.560424
