gps.lat,gps.lon,lte.lCqi,lte.lSinr,lte.lRssi,lte.lRsrp,lte.lRsrq,lte.lNrSinr,lte.lNrRsrp,lte.lNrRsrq,date
54.332946,10.153445,13,14,-43,-73,-90,29,-57,-110,2022-08-23T11:36:37.369429+02:00
54.332946,10.153445,12,12,-45,-73,-90,27,-57,-110,2022-08-23T11:36:38.390365+02:00
54.332946,10.153445,12,12,-45,-73,-90,27,-57,-110,2022-08-23T11:36:39.340806+02:00
54.332946,10.153443,12,12,-45,-73,-90,27,-57,-110,2022-08-23T11:36:40.386799+02:00
54.332946,10.153443,12,14,-45,-72,-90,28,-58,-110,2022-08-23T11:36:41.442644+02:00
54.332946,10.153443,12,14,-45,-72,-90,28,-58,-110,2022-08-23T11:36:42.426962+02:00
54.332946,10.153443,12,14,-45,-72,-90,28,-58,-110,2022-08-23T11:36:43.359582+02:00
54.332946,10.153443,12,14,-43,-73,-100,27,-56,-110,2022-08-23T11:36:44.363097+02:00
54.332946,10.153443,12,14,-43,-73,-100,27,-56,-110,2022-08-23T11:36:45.374971+02:00
54.332947,10.153443,12,14,-43,-73,-100,27,-56,-110,2022-08-23T11:36:46.388862+02:00
54.332947,10.153443,13,14,-44,-73,-90,27,-57,-110,2022-08-23T11:36:47.424588+02:00
54.332947,10.153443,13,14,-44,-73,-90,27,-57,-110,2022-08-23T11:36:48.418667+02:00
54.332947,10.153443,13,14,-44,-73,-90,27,-57,-110,2022-08-23T11:36:49.457532+02:00
54.332947,10.153443,12,14,-44,-73,-100,27,-58,-110,2022-08-23T11:36:50.372399+02:00
54.332946,10.153443,12,14,-44,-73,-100,27,-58,-110,2022-08-23T11:36:51.440517+02:00
54.332946,10.153443,12,14,-44,-73,-100,27,-58,-110,2022-08-23T11:36:52.451425+02:00
54.332946,10.153443,11,16,-45,-72,-100,28,-58,-110,2022-08-23T11:36:53.387585+02:00
54.332946,10.153443,11,16,-45,-72,-100,28,-58,-110,2022-08-23T11:36:54.377481+02:00
54.332946,10.153443,11,16,-45,-72,-100,28,-58,-110,2022-08-23T11:36:55.469388+02:00
54.332946,10.153443,12,12,-42,-73,-90,27,-58,-110,2022-08-23T11:36:56.453770+02:00
54.332946,10.153443,12,12,-42,-73,-90,27,-58,-110,2022-08-23T11:36:57.385112+02:00
54.332947,10.153443,12,12,-42,-73,-90,27,-58,-110,2022-08-23T11:36:58.439326+02:00
54.332947,10.153443,12,14,-43,-73,-90,27,-59,-110,2022-08-23T11:36:59.454164+02:00
54.332947,10.153443,12,14,-43,-73,-90,27,-59,-110,2022-08-23T11:37:00.403223+02:00
54.332947,10.153443,12,14,-43,-73,-90,27,-59,-110,2022-08-23T11:37:01.554632+02:00
54.332947,10.153443,12,16,-46,-72,-90,27,-58,-110,2022-08-23T11:37:02.448849+02:00
54.332947,10.153443,12,16,-46,-72,-90,27,-58,-110,2022-08-23T11:37:03.409184+02:00
54.332947,10.153443,12,16,-46,-72,-90,27,-58,-110,2022-08-23T11:37:04.461831+02:00
54.332946,10.153443,12,16,-46,-73,-90,28,-57,-110,2022-08-23T11:37:05.428735+02:00
54.332946,10.153441,12,16,-46,-73,-90,28,-57,-110,2022-08-23T11:37:06.417800+02:00
54.332946,10.153441,12,16,-46,-73,-90,28,-57,-110,2022-08-23T11:37:07.443928+02:00
54.332944,10.153441,12,14,-45,-73,-90,27,-58,-110,2022-08-23T11:37:08.452593+02:00
54.332944,10.153441,12,14,-45,-73,-90,27,-58,-110,2022-08-23T11:37:09.432520+02:00
54.332944,10.15344,12,14,-45,-73,-90,27,-58,-110,2022-08-23T11:37:10.439951+02:00
54.332944,10.15344,13,14,-45,-73,-90,30,-58,-110,2022-08-23T11:37:11.428696+02:00
54.332944,10.15344,13,14,-45,-73,-90,30,-58,-110,2022-08-23T11:37:12.514993+02:00
54.332944,10.153438,13,14,-45,-73,-90,30,-58,-110,2022-08-23T11:37:13.437956+02:00
54.332944,10.153438,12,14,-44,-73,-90,28,-57,-110,2022-08-23T11:37:14.421532+02:00
54.332944,10.153438,12,14,-44,-73,-90,28,-57,-110,2022-08-23T11:37:15.420095+02:00
54.332944,10.15344,12,14,-44,-73,-90,28,-57,-110,2022-08-23T11:37:16.439608+02:00
54.332944,10.15344,12,12,-47,-73,-90,28,-59,-110,2022-08-23T11:37:17.436527+02:00
54.332946,10.15344,12,12,-47,-73,-90,28,-59,-110,2022-08-23T11:37:18.386511+02:00
54.332946,10.15344,12,12,-47,-73,-90,28,-59,-110,2022-08-23T11:37:19.446439+02:00
54.332946,10.15344,12,14,-41,-72,-90,28,-60,-110,2022-08-23T11:37:20.422811+02:00
54.332946,10.15344,12,14,-41,-72,-90,28,-60,-110,2022-08-23T11:37:21.430450+02:00
54.332946,10.153441,12,14,-41,-72,-90,28,-60,-110,2022-08-23T11:37:22.438729+02:00
54.332946,10.15344,13,14,-44,-73,-100,27,-57,-110,2022-08-23T11:37:23.433995+02:00
54.332946,10.15344,13,14,-44,-73,-100,27,-57,-110,2022-08-23T11:37:24.415431+02:00
54.332947,10.15344,13,14,-44,-73,-100,27,-57,-110,2022-08-23T11:37:25.443040+02:00
54.332947,10.15344,12,14,-44,-73,-100,28,-58,-110,2022-08-23T11:37:26.454657+02:00
54.332947,10.15344,12,14,-44,-73,-100,28,-58,-110,2022-08-23T11:37:27.443814+02:00
54.332947,10.15344,12,14,-44,-73,-100,28,-58,-110,2022-08-23T11:37:28.453796+02:00
54.332947,10.15344,12,14,-45,-73,-90,29,-58,-110,2022-08-23T11:37:29.410742+02:00
54.332947,10.15344,12,14,-45,-73,-90,29,-58,-110,2022-08-23T11:37:30.433543+02:00
54.332947,10.15344,12,14,-45,-73,-90,29,-58,-110,2022-08-23T11:37:31.475235+02:00
54.332947,10.153441,12,16,-43,-72,-90,28,-58,-110,2022-08-23T11:37:32.392803+02:00
54.332947,10.15344,12,16,-43,-72,-90,28,-58,-110,2022-08-23T11:37:33.391166+02:00
54.332947,10.15344,12,16,-43,-72,-90,28,-58,-110,2022-08-23T11:37:34.403443+02:00
54.332947,10.15344,12,16,-43,-72,-90,30,-58,-110,2022-08-23T11:37:35.396192+02:00
54.332949,10.15344,12,16,-43,-72,-90,30,-58,-110,2022-08-23T11:37:36.402983+02:00
54.332949,10.15344,12,16,-43,-72,-90,30,-58,-110,2022-08-23T11:37:37.530447+02:00
54.332949,10.15344,12,16,-43,-72,-100,28,-58,-110,2022-08-23T11:37:38.434350+02:00
54.332949,10.15344,12,16,-43,-72,-100,28,-58,-110,2022-08-23T11:37:39.417572+02:00
54.332949,10.15344,12,16,-43,-72,-100,28,-58,-110,2022-08-23T11:37:40.413698+02:00
54.332949,10.15344,12,16,-45,-72,-90,30,-56,-110,2022-08-23T11:37:41.498973+02:00
54.332949,10.15344,12,16,-45,-72,-90,30,-56,-110,2022-08-23T11:37:42.429326+02:00
