datarate,PCell_RSRP_max,PCell_RSRQ_max,PCell_RSSI_max,PCell_SNR_1,PCell_SNR_2,PCell_Downlink_Num_RBs,PCell_Downlink_TB_Size,PCell_Downlink_Average_MCS,PCell_Downlink_frequency,PCell_Downlink_bandwidth_MHz,PCell_Cell_Identity,PCell_freq_MHz,SCell_RSRP_max,SCell_RSRQ_max,SCell_RSSI_max,SCell_SNR_1,SCell_SNR_2,SCell_Downlink_Num_RBs,SCell_Downlink_TB_Size,SCell_Downlink_Average_MCS,SCell_Downlink_frequency,SCell_Downlink_bandwidth_MHz,SCell_Cell_Identity,SCell_freq_MHz,Latitude,Longitude,Altitude,speed_kmh,COG,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,cloudCover,uvIndex,visibility,Traffic Jam Factor,date
24500000.0,-98.24125,-19.69625,-86.98875,4.7770000018179415,-1.5719999984651805,41539.0,2343621.0,22.0,1801.0,20,51842568.0,1800.0,-103.4275,-15.05125,-91.36,1.747999998703599,-6.207999997138977,51880.0,1214004.0,12.0,2850.0,20,51842565.0,2600.0,52.51400833333334,13.335195,35.3,0.0,259.0,0.0652,0.04,18.15,18.15,14.06,0.77,1011.9,4.07,0.97,3.0,16.093,3.44075,2021-06-22 09:49:54
20800000.0,-99.2425,-19.70125,-87.905625,4.5620000129938125,-2.9089999997615816,28289.0,1509985.0,21.0,1801.0,20,51842568.0,1800.0,-102.865625,-15.06125,-91.3075,1.2079999980330467,-6.126000022888183,47562.0,1004796.0,10.0,2850.0,20,51842565.0,2600.0,52.514005,13.335195,35.4,0.0,259.0,0.0652,0.04,18.15,18.15,14.06,0.77,1011.9,4.07,0.97,3.0,16.093,3.44075,2021-06-22 09:49:55
18100000.0,-98.956875,-20.036875,-87.23,4.796999985724687,-2.0429999899864195,31468.0,1678459.0,21.0,1801.0,20,51842568.0,1800.0,-103.1525,-15.568125,-91.2375,-0.27899999655783175,-6.508000016212463,50332.0,1011033.0,9.0,2850.0,20,51842565.0,2600.0,52.514001666666665,13.335195,35.6,0.0,259.0,0.0652,0.04,18.15,18.15,14.06,0.77,1011.9,4.07,0.97,3.0,16.093,3.44075,2021-06-22 09:49:56
20400000.0,-99.23375,-20.245,-87.34625,3.7180000101029873,-3.0709999978542326,42904.0,2027737.0,19.0,1801.0,20,51842568.0,1800.0,-103.580625,-15.285625,-91.4825,0.6359999982267618,-7.282000017166138,48080.0,962432.0,9.0,2850.0,20,51842565.0,2600.0,52.51399833333333,13.335195,35.7,0.0,259.0,0.0652,0.04,18.15,18.15,14.06,0.77,1011.9,4.07,0.97,3.0,16.093,3.44075,2021-06-22 09:49:57
20100000.0,-99.3375,-19.993125,-87.603125,3.8429999854415655,-2.9239999890327453,40454.0,1964513.0,20.0,1801.0,20,51842568.0,1800.0,-103.525625,-15.095625,-91.450625,1.3860000009089708,-6.722000036239624,53996.0,1136450.0,10.0,2850.0,20,51842565.0,2600.0,52.513996666666664,13.335193333333333,35.7,0.0,259.0,0.0652,0.04,18.15,18.15,14.06,0.77,1011.9,4.07,0.97,3.0,16.093,3.44075,2021-06-22 09:49:58
21100000.0,-99.058125,-20.665,-86.848125,4.508999992758036,-2.4089999949932097,40542.0,2239291.0,21.0,1801.0,20,51842568.0,1800.0,-103.369375,-15.03375,-91.46125,1.6169999919831752,-6.493000011444092,49252.0,1133559.0,11.0,2850.0,20,51842565.0,2600.0,52.51399333333333,13.335191666666667,35.8,0.0,259.0,0.0652,0.04,18.15,18.15,14.06,0.77,1011.9,4.07,0.97,3.0,16.093,3.44075,2021-06-22 09:49:59
25500000.0,-98.236875,-20.314375,-86.080625,2.3990000081807374,-2.204999992251396,38105.0,2055156.0,21.0,1801.0,20,51842568.0,1800.0,-103.4075,-15.016875,-91.429375,1.5359999886900186,-6.693999996185303,45915.0,1038779.0,11.0,2850.0,20,51842565.0,2600.0,52.51399,13.335191666666667,35.9,0.0,259.0,0.0652,0.04,18.15,18.15,14.06,0.77,1011.9,4.07,0.97,3.0,16.093,3.44075,2021-06-22 09:50:00
21500000.0,-98.29375,-20.28125,-86.259375,2.4409999928623436,-1.8809999945759772,34960.0,1921922.0,21.0,1801.0,20,51842568.0,1800.0,-103.301875,-15.295,-91.2625,0.7139999935030937,-6.328000016212464,50220.0,978766.0,9.0,2850.0,20,51842565.0,2600.0,52.51398666666667,13.335191666666667,36.0,0.0,259.0,0.0652,0.04,18.15,18.15,14.06,0.77,1011.9,4.07,0.97,3.0,16.093,3.44075,2021-06-22 09:50:01
20700000.0,-97.98375,-20.66,-86.144375,3.2240000036358833,-2.0119999979436396,39978.0,2204703.0,21.0,1801.0,20,51842568.0,1800.0,-103.26875,-14.791875,-91.49875,2.8949999982863663,-6.6739999961853025,42939.0,1123842.0,12.0,2850.0,20,51842565.0,2600.0,52.51398666666667,13.335191666666667,36.0,0.0,259.0,0.0652,0.04,18.15,18.15,14.06,0.77,1011.9,4.07,0.97,3.0,16.093,3.44075,2021-06-22 09:50:02
22700000.0,-93.82875,-17.7025,-85.189375,11.343999977111816,0.4520000026375055,39163.0,2929416.0,26.0,1801.0,20,51842568.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,52.51397,13.335226666666667,36.8,0.0,30.6,0.0652,0.04,18.15,18.15,14.06,0.77,1011.9,4.07,0.97,3.0,16.093,3.44075,2021-06-22 09:50:19
20400000.0,-93.523125,-17.854375,-85.856875,12.012000007629394,0.7270000029355288,38954.0,3090626.0,27.0,1801.0,20,51842568.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,52.51397,13.335226666666667,37.0,0.0,30.6,0.0652,0.04,18.15,18.15,14.06,0.77,1011.9,4.07,0.97,3.0,16.093,3.44075,2021-06-22 09:50:20
21200000.0,-94.529375,-18.396875,-86.6275,11.549999976158142,0.24400000095367433,42957.0,3212431.0,26.0,1801.0,20,51842568.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,52.51397,13.335228333333333,37.1,0.0,30.6,0.0652,0.04,18.15,18.15,14.06,0.77,1011.9,4.07,0.97,3.0,16.093,3.44075,2021-06-22 09:50:21
22500000.0,-93.916875,-18.2475,-86.32,11.467000002861022,0.605000001937151,38202.0,2829354.0,26.0,1801.0,20,51842568.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,52.51397166666667,13.335228333333333,37.2,0.0,30.6,0.0652,0.04,18.15,18.15,14.06,0.77,1011.9,4.07,0.97,3.0,16.093,3.44075,2021-06-22 09:50:22
19200000.0,-93.08026315789473,-18.236842105263158,-84.98947368421052,11.098947359386242,0.3431578950662362,39938.0,3120676.0,26.0,1801.0,20,51842568.0,1800.0,-104.41163793103448,-15.668103448275861,-91.55387931034483,-1.5551724097338215,-7.541379287325102,185.0,1668.0,4.0,2850.0,20,51842565.0,2600.0,52.51397166666667,13.33523,37.4,0.0,30.6,0.0652,0.04,18.15,18.15,14.06,0.77,1011.9,4.07,0.97,3.0,16.093,3.44075,2021-06-22 09:50:23
25700000.0,-93.560625,-18.95125,-85.6675,10.382000083923339,-0.0019999997317790984,42913.0,3129709.0,25.0,1801.0,20,51842568.0,1800.0,-104.5725,-15.72125,-91.550625,-0.15200000055134297,-7.426000008583069,40076.0,708997.0,8.0,2850.0,20,51842565.0,2600.0,52.51397166666667,13.33523,37.4,0.0,30.6,0.0652,0.04,18.15,18.15,14.06,0.77,1011.9,4.07,0.97,3.0,16.093,3.44075,2021-06-22 09:50:24
28300000.0,-93.52375,-19.396875,-84.95875,10.34699999809265,0.4230000051110983,43912.0,3311365.0,26.0,1801.0,20,51842568.0,1800.0,-103.641875,-15.148125,-91.585,1.4919999919086695,-7.420999994277954,48416.0,1089750.0,10.0,2850.0,20,51842565.0,2600.0,52.51397166666667,13.33523,37.4,0.0,30.6,0.0652,0.04,18.15,18.15,14.06,0.77,1011.9,4.07,0.97,3.0,16.093,3.44075,2021-06-22 09:50:25
28000000.0,-94.2175,-18.475,-85.688125,10.179999980926514,0.5480000042170287,39706.0,2866952.0,25.0,1801.0,20,51842568.0,1800.0,-104.0275,-15.3775,-91.655,1.1440000062435864,-7.88100001335144,48758.0,1105185.0,11.0,2850.0,20,51842565.0,2600.0,52.51397166666667,13.33523,37.4,0.0,30.6,0.0652,0.04,18.15,18.15,14.06,0.77,1011.9,4.07,0.97,3.0,16.093,3.44075,2021-06-22 09:50:26
24700000.0,-95.0125,-17.386875,-87.2825,9.00600004196167,-0.7850000042468309,32342.0,2088815.0,23.0,1801.0,20,51842568.0,1800.0,-105.131875,-16.471875,-91.49375,-2.023000004813075,-7.946000046730042,44496.0,706509.0,7.0,2850.0,20,51842565.0,2600.0,52.51397,13.33523,37.4,0.0,30.6,0.0652,0.04,18.15,18.15,14.06,0.77,1011.9,4.07,0.97,3.0,16.093,3.44075,2021-06-22 09:50:27
15600000.0,-94.159375,-16.130625,-88.73,8.861000003814697,-1.2960000006854535,23150.0,1561796.0,24.0,1801.0,20,51842568.0,1800.0,-104.554375,-16.030625,-91.450625,-0.9240000098198652,-7.590000014305115,49421.0,850711.0,8.0,2850.0,20,51842565.0,2600.0,52.51397,13.335228333333333,37.4,0.0,30.6,0.0652,0.04,18.15,18.15,14.06,0.77,1011.9,4.07,0.97,3.0,16.093,3.44075,2021-06-22 09:50:28
17000000.0,-93.83875,-18.174375,-87.64,9.081000027656556,-2.177999997138977,33852.0,2355498.0,25.0,1801.0,20,51842568.0,1800.0,-103.92,-16.40625,-91.325625,-1.7189999917149543,-8.308000001907349,46021.0,742036.0,7.0,2850.0,20,51842565.0,2600.0,52.51397,13.335228333333333,37.4,0.0,30.6,0.0652,0.04,18.15,18.15,14.06,0.77,1011.9,4.07,0.97,3.0,16.093,3.44075,2021-06-22 09:50:29
26600000.0,-93.81125,-17.91,-87.4275,9.832000064849854,-1.8850000047683715,40099.0,3012093.0,26.0,1801.0,20,51842568.0,1800.0,-103.709375,-15.785625,-91.44,-0.5490000027418137,-8.005000009536744,47031.0,862495.0,8.0,2850.0,20,51842565.0,2600.0,52.51396833333333,13.335228333333333,37.5,0.0,30.6,0.0652,0.04,18.15,18.15,14.06,0.77,1011.9,4.07,0.97,3.0,16.093,3.44075,2021-06-22 09:50:30
27200000.0,-94.0125,-17.769375,-86.879375,9.574000034332276,-0.8199999982118606,39656.0,2842296.0,25.0,1801.0,20,51842568.0,1800.0,-103.338125,-15.823125,-91.288125,-0.4949999975413084,-7.545000033378601,50414.0,946310.0,9.0,2850.0,20,51842565.0,2600.0,52.51396833333333,13.33523,37.5,0.0,30.6,0.0652,0.04,18.15,18.15,14.06,0.77,1011.9,4.07,0.97,3.0,16.093,3.44075,2021-06-22 09:50:31
