datarate,PCell_RSRP_max,PCell_RSRQ_max,PCell_RSSI_max,PCell_SNR_1,PCell_SNR_2,PCell_Uplink_Num_RBs,PCell_Uplink_TB_Size,PCell_Uplink_Tx_Power_(dBm),PCell_Uplink_frequency,PCell_Uplink_bandwidth_MHz,PCell_Cell_Identity,PCell_freq_MHz,Latitude,Longitude,Altitude,speed_kmh,COG,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,cloudCover,uvIndex,visibility,Traffic Jam Factor,date
7670000.0,-98.36625,-12.744375,-92.948125,5.768999978303909,-6.145000011920929,30205.0,1116582.0,23.069214876033058,19801.0,20,51447561.0,1800.0,52.51315,13.331178333333334,38.8,10.926800000000002,84.2,0.1203,0.09,17.47,17.47,12.28,0.72,1019.0,2.15,0.99,2.0,16.093,2.72152,2021-06-23 09:29:50
8720000.0,-99.435,-14.276875,-92.7,5.625000001788139,-5.958999972343445,33076.0,1275597.0,23.270623742454728,19801.0,20,51447561.0,1800.0,52.513151666666666,13.331216666666666,38.6,7.9636000000000005,82.0,0.1203,0.09,17.47,17.47,12.28,0.72,1019.0,2.15,0.99,2.0,16.093,2.72152,2021-06-23 09:29:51
8470000.0,-97.4,-11.155,-93.220625,9.014999995231628,-3.68600000500679,32357.0,1275475.0,23.279187817258883,19801.0,20,51447561.0,1800.0,52.513153333333335,13.331243333333333,38.6,5.926400000000001,84.2,0.1203,0.09,17.47,17.47,12.28,0.72,1019.0,2.15,0.99,2.0,16.093,2.72152,2021-06-23 09:29:52
7870000.0,-102.58125,-11.989375,-94.110625,4.65599998049438,-7.872999982833862,31716.0,1140853.0,24.5125,19801.0,20,51447561.0,1800.0,52.513155,13.331265,38.4,5.556,86.2,0.1203,0.09,17.47,17.47,12.28,0.72,1019.0,2.15,0.99,2.0,16.093,2.72152,2021-06-23 09:29:53
9430000.0,-103.01125,-12.375,-94.154375,2.1739999967813493,-8.29000002861023,36121.0,1365817.0,24.03128258602711,19801.0,20,51447561.0,1800.0,52.513155,13.331288333333333,38.3,5.926400000000001,85.5,0.1203,0.09,17.47,17.47,12.28,0.72,1019.0,2.15,0.99,2.0,16.093,2.72152,2021-06-23 09:29:54
6040000.0,-103.361875,-11.84375,-94.33125,4.692999995350838,-8.305999960899353,28082.0,904337.0,22.502702702702702,19801.0,20,51447561.0,1800.0,52.51315666666667,13.33132,38.2,9.8156,84.7,0.1203,0.09,17.47,17.47,12.28,0.72,1019.0,2.15,0.99,2.0,16.093,2.72152,2021-06-23 09:29:55
7320000.0,-105.776875,-12.67125,-94.575625,2.772999986857176,-10.510999984741211,35081.0,1085699.0,24.064008394543546,19801.0,20,51447561.0,1800.0,52.51316,13.331368333333334,38.0,14.2604,84.2,0.1203,0.09,17.47,17.47,12.28,0.72,1019.0,2.15,0.99,2.0,16.093,2.72152,2021-06-23 09:29:56
6090000.0,-105.375625,-12.061875,-94.596875,1.3800000070780516,-10.51899998664856,36210.0,869195.0,24.577942735949097,19801.0,20,51447561.0,1800.0,52.513165,13.331436666666667,37.9,18.8904,84.2,0.1203,0.09,17.47,17.47,12.28,0.72,1019.0,2.15,0.99,2.0,16.093,2.72152,2021-06-23 09:29:57
5140000.0,-107.038125,-13.32625,-94.554375,-0.1949999912083149,-11.537999963760376,34027.0,755926.0,24.631966351209254,19801.0,20,51447561.0,1800.0,52.513171666666665,13.331525,37.8,23.150000000000002,83.5,0.1203,0.09,17.47,17.47,12.28,0.72,1019.0,2.15,0.99,2.0,16.093,3.56064,2021-06-23 09:29:58
4320000.0,-109.289375,-14.67375,-94.704375,-2.949999997764826,-13.662999992370606,29749.0,658679.0,23.617045454545455,19801.0,20,51447561.0,1800.0,52.51318,13.331626666666667,37.7,26.2984,83.6,0.1203,0.09,17.47,17.47,12.28,0.72,1019.0,2.15,0.99,2.0,16.093,3.56064,2021-06-23 09:29:59
