datarate,PCell_RSRP_1,PCell_RSRP_2,PCell_RSRQ_1,PCell_RSRQ_2,PCell_RSSI_1,PCell_RSSI_2,PCell_SNR_1,PCell_SNR_2,date
24800000.0,-109.646875,-139.158125,-11.37375,-25.621875,-78.276875,-93.53625,9.25300003528595,-14.242999963760376,2021-06-22 10:03:47+02:00
21000000.0,-110.146875,-139.20625,-11.364375,-25.71125,-78.781875,-93.498125,9.209000010490417,-14.810999965667724,2021-06-22 10:03:48+02:00
20900000.0,-109.94125,-139.1175,-11.30875,-25.6375,-78.633125,-93.480625,9.379999980926513,-14.557000017166137,2021-06-22 10:03:49+02:00
24200000.0,-108.74,-138.891875,-11.196875,-25.4225,-77.54375,-93.469375,10.60199995994568,-14.703999996185303,2021-06-22 10:03:50+02:00
24100000.0,-109.74,-139.20375,-11.2975,-25.725625,-78.4425,-93.475625,9.501000018119813,-14.266000022888184,2021-06-22 10:03:51+02:00
18300000.0,-110.515625,-139.67125,-11.438125,-26.1675,-79.078125,-93.506875,8.78099998474121,-14.876999979019166,2021-06-22 10:03:52+02:00
17700000.0,-110.166875,-139.3475,-11.414375,-25.8625,-78.748125,-93.481875,8.739999971389771,-14.152000017166138,2021-06-22 10:03:53+02:00
17700000.0,-110.108125,-139.218125,-11.455625,-25.743125,-78.65,-93.47625,8.894000024795533,-14.14,2021-06-22 10:03:54+02:00
21200000.0,-110.189375,-139.094375,-11.380625,-25.6025,-78.809375,-93.48875,9.152000041007996,-14.728000078201294,2021-06-22 10:03:55+02:00
19700000.0,-110.008125,-139.035625,-11.360625,-25.57625,-78.645625,-93.4625,9.105999994277955,-14.415000009536744,2021-06-22 10:03:56+02:00
19600000.0,-111.636875,-140.425625,-11.6975,-26.941875,-79.936875,-93.4825,7.2970000171661376,-14.82799997329712,2021-06-22 10:03:57+02:00
14800000.0,-112.92,-141.74125,-12.016875,-28.201875,-80.90375,-93.535,5.66399998664856,-15.35599998474121,2021-06-22 10:03:58+02:00
15100000.0,-111.54125,-139.670625,-11.751875,-26.154375,-79.791875,-93.513125,6.583000001907348,-14.666000013351441,2021-06-22 10:03:59+02:00
15400000.0,-112.089375,-140.04875,-12.05625,-26.57875,-80.036875,-93.468125,5.351000010967255,-14.961999959945679,2021-06-22 10:04:00+02:00
16600000.000000002,-110.204375,-139.803125,-11.5675,-26.29375,-78.63875,-93.50625,7.399000043869019,-14.329000034332275,2021-06-22 10:04:01+02:00
18700000.0,-110.695625,-139.4875,-11.54,-26.005,-79.155625,-93.484375,7.642000045776367,-14.377999963760375,2021-06-22 10:04:02+02:00
18800000.0,-110.616875,-139.445625,-11.5175,-25.97125,-79.1,-93.46875,7.609000005722046,-14.295000038146974,2021-06-22 10:04:03+02:00
19700000.0,-111.00375,-139.86875,-11.525,-26.415625,-79.484375,-93.45375,7.881000022888184,-14.574999980926513,2021-06-22 10:04:04+02:00
18000000.0,-110.073125,-139.57375,-11.48875,-26.140625,-78.580625,-93.433125,8.495000052452088,-14.705,2021-06-22 10:04:05+02:00
20400000.0,-110.0925,-138.83875,-11.4225,-25.394375,-78.669375,-93.446875,8.962999958992004,-13.823000030517578,2021-06-22 10:04:06+02:00
21300000.0,-109.576875,-139.505625,-11.438125,-26.073125,-78.1375,-93.435625,8.896000032424928,-14.666999969482422,2021-06-22 10:04:07+02:00
19100000.0,-109.45625,-138.315625,-11.37625,-24.895625,-78.075625,-93.42125,9.155,-13.625999984741211,2021-06-22 10:04:08+02:00
21200000.0,-109.35375,-138.22875,-11.364375,-24.8175,-77.994375,-93.408125,8.986999988555908,-13.670999994277954,2021-06-22 10:04:09+02:00
17200000.0,-109.923125,-138.44625,-11.37625,-24.9925,-78.546875,-93.4525,8.97300000667572,-14.007000007629394,2021-06-22 10:04:10+02:00
18500000.0,-109.84625,-139.025625,-11.514375,-25.548125,-78.33125,-93.473125,8.510999979972839,-13.918000040054322,2021-06-22 10:04:11+02:00
19100000.0,-109.859375,-139.029375,-11.4225,-25.53625,-78.446875,-93.491875,9.296000037193298,-14.11600001335144,2021-06-22 10:04:12+02:00
20500000.0,-109.98125,-138.5825,-11.4775,-25.10625,-78.50625,-93.4725,8.338000020980836,-13.798999948501587,2021-06-22 10:04:13+02:00
