datarate,PCell_Downlink_TB_Size,SCell_Downlink_TB_Size,PCell_SNR_1,PCell_SNR_2,SCell_SNR_1,SCell_SNR_2,PCell_RSSI_1,PCell_RSSI_2,PCell_RSSI_max,PCell_RSRP_1,PCell_RSRP_2,PCell_RSRP_max,PCell_Downlink_Average_MCS,SCell_Downlink_Average_MCS,PCell_Downlink_Num_RBs,SCell_Downlink_Num_RBs
68700000.0,4381967.0,6111069.0,19.25500005722046,22.08999988555908,21.967999992370604,26.189000091552735,-42.186875,-45.5625,-45.5625,-76.63875,-79.811875,-76.63875,26.0,24.0,29914.0,46392.0
80300000.0,5085821.0,7083430.0,17.914000005722045,22.182999973297118,22.368000011444092,26.416000080108642,-42.5625,-45.24125,-45.24125,-77.6025,-79.874375,-77.6025,25.0,25.0,36796.0,48460.0
82600000.0,3651540.0,7045455.0,17.938999996185302,22.363999996185303,22.49499994277954,26.04600004196167,-42.579375,-45.315625,-45.315625,-77.634375,-80.081875,-77.634375,24.0,27.0,27210.0,43548.0
79600000.0,6077291.0,7226349.0,19.029000034332274,22.222999897003174,22.935999984741212,26.435,-41.573125,-45.401875,-45.401875,-76.256875,-79.81,-76.256875,26.0,26.0,41625.0,48608.0
95700000.0,5670015.0,6526884.0,19.358999996185304,22.87200002670288,23.189000091552735,26.117999954223635,-41.44875,-45.60625,-45.60625,-76.021875,-79.69375,-76.021875,25.0,25.0,40278.0,46538.0
78700000.0,6361048.0,5868090.0,18.822999935150147,22.727000026702882,23.401000061035155,26.06899990081787,-41.67,-45.28125,-45.28125,-76.38375,-79.45375,-76.38375,25.0,23.0,44748.0,46280.0
92800000.0,6725803.0,6764510.0,18.96200002670288,23.05199998855591,23.04999988555908,26.427999877929686,-41.1325,-44.355,-44.355,-76.16875,-78.769375,-76.16875,26.0,26.0,45217.0,46404.0
91900000.0,6401470.0,6854605.0,18.745000076293945,22.899999961853027,23.131999988555908,26.198999938964842,-41.85875,-45.33,-45.33,-76.4525,-79.435,-76.4525,25.0,25.0,45822.0,48170.0
92600000.0,6497962.0,6559390.0,18.76499994277954,23.109000072479247,23.523000011444093,26.2,-41.709375,-45.135625,-45.135625,-76.39625,-79.211875,-76.39625,25.0,25.0,45912.0,46868.0
90700000.0,6781600.0,6339442.0,18.701999969482422,23.03699991226196,23.83600009918213,25.976999988555907,-41.765625,-45.319375,-45.319375,-76.396875,-79.345,-76.396875,26.0,25.0,46926.0,45463.0
