bandwidth,LTE-neighbors,RSSI,RSRQ,ENodeB-change,time-advance,speed,band,date
12.6,9,0,102,13,3,7.37,2100,2023-01-01 00:00:00
3.18,9,0,102,13,3,6.51,2100,2023-01-01 00:00:01
0.0,11,0,107,16,3,8.5,2100,2023-01-01 00:00:02
3.16,11,0,107,16,3,8.76,2100,2023-01-01 00:00:03
0.0,11,0,107,16,3,7.85,2100,2023-01-01 00:00:04
3.19,7,1,106,16,5,8.16,2100,2023-01-01 00:00:05
3.16,7,0,106,16,5,8.2,2100,2023-01-01 00:00:06
3.18,7,0,106,16,5,8.2,2100,2023-01-01 00:00:07
6.37,11,0,113,18,5,8.36,2100,2023-01-01 00:00:08
6.32,11,0,113,18,5,8.07,2100,2023-01-01 00:00:09
3.14,11,0,113,18,5,8.17,2100,2023-01-01 00:00:10
6.3,8,0,112,19,5,8.36,2100,2023-01-01 00:00:11
6.35,8,0,112,19,5,8.27,2100,2023-01-01 00:00:12
6.33,8,0,110,17,5,8.38,2100,2023-01-01 00:00:13
6.37,8,0,110,17,5,7.71,2100,2023-01-01 00:00:14
0.0,8,0,110,17,5,8.29,2100,2023-01-01 00:00:15
6.35,8,1,110,18,7,8.74,1900,2023-01-01 00:00:16
6.33,8,0,110,18,7,9.05,1900,2023-01-01 00:00:17
6.35,8,0,110,18,7,7.54,1900,2023-01-01 00:00:18
3.2,10,1,104,17,4,8.48,1900,2023-01-01 00:00:19
9.47,10,0,104,17,4,7.95,1900,2023-01-01 00:00:20
12.7,10,0,104,17,4,7.23,1900,2023-01-01 00:00:21
15.8,11,1,96,17,2,6.6,1900,2023-01-01 00:00:22
12.7,11,0,96,17,2,7.1,1900,2023-01-01 00:00:23
15.8,11,0,96,17,2,7.08,1900,2023-01-01 00:00:24
15.9,8,0,95,15,2,6.89,1900,2023-01-01 00:00:25
12.7,8,0,95,15,2,6.65,1900,2023-01-01 00:00:26
3.16,8,0,95,15,2,6.97,1900,2023-01-01 00:00:27
13.0,8,1,98,17,4,6.55,1900,2023-01-01 00:00:28
9.45,8,0,98,17,4,7.46,1900,2023-01-01 00:00:29
6.37,8,0,98,17,4,7.17,1900,2023-01-01 00:00:30
9.47,8,0,97,17,3,7.18,1900,2023-01-01 00:00:31
9.53,8,0,97,17,3,7.65,1900,2023-01-01 00:00:32
12.7,8,0,97,17,3,7.88,1900,2023-01-01 00:00:33
12.6,8,0,96,16,3,7.64,1900,2023-01-01 00:00:34
