bandwidth,LTE-neighbors,RSSI,RSRQ,ENodeB-change,time-advance,speed,band,date
19.0,5.0,0.0,67.0,14.0,1.0,0.0,1900.0,2023-01-01 00:00:00
15.9,5.0,0.0,67.0,14.0,1.0,0.0,1900.0,2023-01-01 00:00:01
18.3,5.0,0.0,67.0,14.0,1.0,0.0,1900.0,2023-01-01 00:00:02
20.8,4.0,0.0,65.0,13.0,0.0,0.0,1900.0,2023-01-01 00:00:03
15.9,4.0,0.0,65.0,13.0,0.0,0.0,1900.0,2023-01-01 00:00:04
19.1,4.0,0.0,65.0,13.0,0.0,0.0,1900.0,2023-01-01 00:00:05
15.9,4.0,0.0,64.0,15.0,0.0,0.0,1900.0,2023-01-01 00:00:06
15.9,4.0,0.0,64.0,15.0,0.0,0.0,1900.0,2023-01-01 00:00:07
17.9,4.0,0.0,64.0,15.0,0.0,0.0,1900.0,2023-01-01 00:00:08
19.0,4.0,0.0,67.0,16.0,0.0,0.0,1900.0,2023-01-01 00:00:09
15.9,4.0,0.0,67.0,16.0,0.0,0.0,1900.0,2023-01-01 00:00:10
19.0,4.0,0.0,67.0,16.0,0.0,0.0,1900.0,2023-01-01 00:00:11
19.0,6.0,0.0,68.0,15.0,0.0,0.0,1900.0,2023-01-01 00:00:12
19.0,6.0,0.0,68.0,15.0,0.0,0.0,1900.0,2023-01-01 00:00:13
16.0,6.0,0.0,68.0,15.0,0.0,0.37,1900.0,2023-01-01 00:00:14
19.1,4.0,0.0,67.0,14.0,1.0,0.0,1900.0,2023-01-01 00:00:15
15.9,4.0,0.0,67.0,14.0,1.0,0.0,1900.0,2023-01-01 00:00:16
19.0,4.0,0.0,64.0,15.0,0.0,0.0,1900.0,2023-01-01 00:00:17
19.0,4.0,0.0,64.0,15.0,0.0,0.0,1900.0,2023-01-01 00:00:18
15.9,4.0,0.0,64.0,15.0,0.0,0.0,1900.0,2023-01-01 00:00:19
19.2,3.0,0.0,64.0,14.0,0.0,0.0,1900.0,2023-01-01 00:00:20
15.9,3.0,0.0,64.0,14.0,0.0,0.0,1900.0,2023-01-01 00:00:21
15.9,3.0,0.0,64.0,14.0,0.0,0.0,1900.0,2023-01-01 00:00:22
15.9,4.0,0.0,64.0,13.0,0.0,0.0,1900.0,2023-01-01 00:00:23
16.7,4.0,0.0,64.0,13.0,0.0,0.0,1900.0,2023-01-01 00:00:24
9.54,4.0,0.0,64.0,12.0,0.0,0.0,1900.0,2023-01-01 00:00:25
9.49,4.0,0.0,64.0,12.0,0.0,0.0,1900.0,2023-01-01 00:00:26
14.1,3.0,0.0,65.0,14.0,1.0,0.0,1900.0,2023-01-01 00:00:27
15.9,3.0,0.0,65.0,14.0,1.0,0.0,1900.0,2023-01-01 00:00:28
19.1,3.0,0.0,65.0,14.0,1.0,0.0,1900.0,2023-01-01 00:00:29
15.9,5.0,0.0,64.0,15.0,1.0,0.0,1900.0,2023-01-01 00:00:30
15.9,5.0,0.0,64.0,15.0,1.0,0.0,1900.0,2023-01-01 00:00:31
19.0,5.0,0.0,64.0,15.0,1.0,0.0,1900.0,2023-01-01 00:00:32
15.9,5.0,0.0,64.0,12.0,0.0,0.0,1900.0,2023-01-01 00:00:33
19.1,5.0,0.0,64.0,12.0,0.0,0.0,1900.0,2023-01-01 00:00:34
15.9,5.0,0.0,63.0,12.0,0.0,0.0,1900.0,2023-01-01 00:00:35
19.1,5.0,0.0,63.0,12.0,0.0,0.0,1900.0,2023-01-01 00:00:36
19.0,5.0,0.0,63.0,12.0,0.0,0.0,1900.0,2023-01-01 00:00:37
19.1,4.0,0.0,65.0,14.0,1.0,0.0,1900.0,2023-01-01 00:00:38
19.1,4.0,0.0,65.0,14.0,1.0,0.0,1900.0,2023-01-01 00:00:39
15.9,4.0,0.0,65.0,14.0,1.0,0.0,1900.0,2023-01-01 00:00:40
15.9,4.0,0.0,67.0,12.0,0.0,0.0,1900.0,2023-01-01 00:00:41
15.9,4.0,0.0,67.0,12.0,0.0,0.0,1900.0,2023-01-01 00:00:42
22.2,4.0,0.0,67.0,12.0,0.0,0.0,1900.0,2023-01-01 00:00:43
22.1,6.0,1.0,65.0,13.0,1.0,0.0,1900.0,2023-01-01 00:00:44
29.4,6.0,0.0,65.0,13.0,1.0,0.0,1900.0,2023-01-01 00:00:45
30.1,5.0,1.0,70.0,12.0,0.0,0.0,2100.0,2023-01-01 00:00:46
27.2,5.0,0.0,70.0,12.0,0.0,0.0,2100.0,2023-01-01 00:00:47
22.5,5.0,0.0,70.0,12.0,0.0,0.0,2100.0,2023-01-01 00:00:48
