bandwidth,LTE-neighbors,RSSI,RSRQ,ENodeB-change,time-advance,speed,band,date
9.41,4.0,0.0,-91.0,-19.0,1.0,0.0,2100.0,2023-01-01 00:00:00
3.21,4.0,0.0,-91.0,-19.0,1.0,0.0,2100.0,2023-01-01 00:00:01
3.16,5.0,0.0,-90.0,-18.0,1.0,0.0,1900.0,2023-01-01 00:00:02
6.33,5.0,0.0,-90.0,-18.0,1.0,0.0,1900.0,2023-01-01 00:00:03
6.33,5.0,0.0,-90.0,-18.0,1.0,0.0,1900.0,2023-01-01 00:00:04
9.49,7.0,1.0,-86.0,-19.0,2.0,0.0,1900.0,2023-01-01 00:00:05
12.7,7.0,0.0,-86.0,-19.0,2.0,0.0,1900.0,2023-01-01 00:00:06
9.47,7.0,0.0,-86.0,-19.0,2.0,0.0,1900.0,2023-01-01 00:00:07
12.6,9.0,1.0,-81.0,-13.0,0.0,0.0,1900.0,2023-01-01 00:00:08
9.44,9.0,0.0,-81.0,-13.0,0.0,0.0,1900.0,2023-01-01 00:00:09
6.31,7.0,0.0,-81.0,-11.0,1.0,0.0,1900.0,2023-01-01 00:00:10
9.79,7.0,0.0,-81.0,-11.0,1.0,0.0,1900.0,2023-01-01 00:00:11
5.07,7.0,0.0,-81.0,-11.0,1.0,0.0,1900.0,2023-01-01 00:00:12
10.5,7.0,0.0,-87.0,-16.0,1.0,0.0,1900.0,2023-01-01 00:00:13
7.06,7.0,0.0,-87.0,-16.0,1.0,0.0,1900.0,2023-01-01 00:00:14
5.55,7.0,0.0,-87.0,-16.0,1.0,0.0,1900.0,2023-01-01 00:00:15
10.6,8.0,1.0,-91.0,-16.0,1.0,0.0,1900.0,2023-01-01 00:00:16
7.04,8.0,0.0,-91.0,-16.0,1.0,0.0,1900.0,2023-01-01 00:00:17
7.06,8.0,0.0,-91.0,-16.0,1.0,0.0,1900.0,2023-01-01 00:00:18
7.17,7.0,0.0,-96.0,-19.0,2.0,0.0,1900.0,2023-01-01 00:00:19
7.06,7.0,0.0,-96.0,-19.0,2.0,0.0,1900.0,2023-01-01 00:00:20
10.6,7.0,0.0,-96.0,-19.0,2.0,0.0,1900.0,2023-01-01 00:00:21
7.06,9.0,1.0,-96.0,-16.0,1.0,0.0,1900.0,2023-01-01 00:00:22
7.06,9.0,0.0,-96.0,-16.0,1.0,0.0,1900.0,2023-01-01 00:00:23
7.06,9.0,0.0,-96.0,-16.0,1.0,0.0,1900.0,2023-01-01 00:00:24
7.06,7.0,0.0,-92.0,-16.0,1.0,0.0,1900.0,2023-01-01 00:00:25
10.6,7.0,0.0,-92.0,-16.0,1.0,0.0,1900.0,2023-01-01 00:00:26
3.51,7.0,0.0,-92.0,-16.0,1.0,0.0,1900.0,2023-01-01 00:00:27
10.6,6.0,0.0,-83.0,-15.0,0.0,0.0,1900.0,2023-01-01 00:00:28
